SIRA NO,URUN NO,LINK-AD,SPOR DALI,MARKA,FIYAT,TUM YILDIZ,TUM YORUM
1,332590,https://www.decathlon.com.tr/p/cocuk-hali-saha-ayakkabisi-futbol-ayakkabisi-turuncu-160-easy/_/R-p-332590?mc=8843885&c=MAV%C4%B0,futbol,Kipsta,₺1.440,,2408
2,184873,https://www.decathlon.com.tr/p/krampon-futbol-ayakkabisi-siyah-agility-100-ag-fg/_/R-p-184873?mc=8397881&c=S%C4%B0YAH,futbol,Kipsta,₺1.440,,1948
3,341445,https://www.decathlon.com.tr/p/yetiskin-krampon-futbol-ayakkabisi-turuncu-clr-fg-fire-storm/_/R-p-341445?mc=8928550&c=TURUNCU,futbol,Kipsta,₺3.890,,112
4,184875,https://www.decathlon.com.tr/p/yetiskin-hali-saha-ayakkabisi-futbol-ayakkabisi-siyah-agility-100-turf/_/R-p-184875?mc=8398029&c=S%C4%B0YAH,futbol,Kipsta,₺1.440,,2900
5,343072,https://www.decathlon.com.tr/p/cocuk-hali-saha-ayakkabisi-futbol-ayakkabisi-mor-viralto-i-easy/_/R-p-343072?mc=8917487&c=TURUNCU,futbol,Kipsta,₺1.890,,777
6,343053,https://www.decathlon.com.tr/p/cocuk-bagcikli-hali-saha-ayakkabisi-futbol-ayakkabisi-viralto-i-tf-nebula/_/R-p-343053?mc=8917502&c=TURUNCU,futbol,Kipsta,₺1.890,,675
7,343351,https://www.decathlon.com.tr/p/cocuk-hali-saha-ayakkabisi-futbol-ayakkabisi-mavi-160/_/R-p-343351?mc=8843871&c=TURUNCU,futbol,Kipsta,₺1.440,,381
8,342877,https://www.decathlon.com.tr/p/cocuk-hali-saha-ayakkabisi-futbol-ayakkabisi-siyah-sari-100-turf/_/R-p-342877?mc=8766041&c=S%C4%B0YAH_SARI,futbol,Kipsta,₺1.190,,992
9,326243,https://www.decathlon.com.tr/p/cocuk-hali-saha-ayakkabisi-futbol-ayakkabisi-sari-viralto-iii-turf-tf/_/R-p-326243?mc=8844000&c=TURUNCU,futbol,Kipsta,₺2.590,,650
10,326356,https://www.decathlon.com.tr/p/cocuk-hali-saha-ayakkabisi-futbol-ayakkabisi-siyah-sari-100-easy-turf/_/R-p-326356?mc=8668806&c=S%C4%B0YAH_SARI,futbol,Kipsta,₺1.190,,1959
11,310393,https://www.decathlon.com.tr/p/cocuk-futsal-salon-ayakkabisi-kirmizi-siyah-ginka-500/_/R-p-310393?mc=8771040&c=S%C4%B0YAH_MAV%C4%B0_KIRMIZI,futbol,Kipsta,₺1.590,,422
12,325385,https://www.decathlon.com.tr/p/yetiskin-hali-saha-ayakkabisi-futbol-ayakkabisi-turkuaz-viralto-1/_/R-p-325385?mc=8851220&c=MAV%C4%B0,futbol,Kipsta,₺2.190,,1126
13,326382,https://www.decathlon.com.tr/p/cocuk-krampon-futbol-ayakkabisi-siyah-sari-100-easy-ag-fg/_/R-p-326382?mc=8590458&c=S%C4%B0YAH_SARI,futbol,Kipsta,₺1.190,,1263
14,325215,https://www.decathlon.com.tr/p/krampon-futbol-ayakkabisi-neon-beyaz-viralto-iv-pro/_/R-p-325215?mc=8917271&c=BEYAZ,futbol,Kipsta,₺4.190,,98
15,343291,https://www.decathlon.com.tr/p/cocuk-krampon-futbol-ayakkabisi-turuncu-160-mg/_/R-p-343291?mc=8843881&c=MAV%C4%B0_YE%C5%9E%C4%B0L,futbol,Kipsta,₺1.440,,349
16,382752,https://www.decathlon.com.tr/p/krampon-futbol-ayakkabisi-attacanto-ii-fg-ag/_/R-p-382752?mc=9007243,futbol,Decathlon,₺3.490,,0
17,332505,https://www.decathlon.com.tr/p/cocuk-krampon-futbol-ayakkabisi-turuncu-160-mg-easy/_/R-p-332505?mc=8843878&c=YE%C5%9E%C4%B0L,futbol,Kipsta,₺1.440,,858
18,342876,https://www.decathlon.com.tr/p/cocuk-krampon-futbol-ayakkabisi-siyah-sari-100-fg/_/R-p-342876?mc=8766040&c=S%C4%B0YAH_SARI,futbol,Kipsta,₺1.190,,692
19,X8899523,https://www.decathlon.com.tr/p/adidas-yetiskin-hali-saha-ayakkabisi-futbol-ayakkabisi-predator-club-turf/_/R-p-X8899523?mc=8899523,futbol,Adidas,₺2.790,,20
20,312633,https://www.decathlon.com.tr/p/erkek-krampon-futbol-ayakkabisi-mavi-traxium-edge-ag-fg/_/R-p-312633?mc=8917266&c=MAV%C4%B0,futbol,Kipsta,₺3.990,,42
21,342919,https://www.decathlon.com.tr/p/krampon-futbol-ayakkabisi-siyah-kirmizi-viralto-i-mg-ag/_/R-p-342919?mc=8917418&c=BEYAZ,futbol,Kipsta,₺2.190,,667
22,343026,https://www.decathlon.com.tr/p/krampon-futbol-ayakkabisi-turkuaz-viralto-i-fg/_/R-p-343026?mc=8851224&c=MAV%C4%B0,futbol,Kipsta,₺2.190,,810
23,375996,https://www.decathlon.com.tr/p/krampon-futbol-ayakkabisi-beyaz-predator-club-fg-mg/_/R-p-375996?mc=8975819,futbol,Adidas,₺3.290,,0
24,325272,https://www.decathlon.com.tr/p/erkek-krampon-futbol-ayakkabisi-siyah-viralto-iii-fg/_/R-p-325272?mc=8917477&c=S%C4%B0YAH_TURUNCU,futbol,Kipsta,₺3.090,,751
25,326425,https://www.decathlon.com.tr/p/cocuk-krampon-futbol-ayakkabisi-kirmizi-bagcikli-viralto-iii-fg/_/R-p-326425?mc=8915913&c=KIRMIZI,futbol,Kipsta,₺2.590,,557
26,347304,https://www.decathlon.com.tr/p/cocuk-salon-futbolu-ayakkabisi-siyah-gri-100/_/R-p-347304?mc=8809065&c=S%C4%B0YAH_GR%C4%B0,futbol,Kipsta,₺1.250,,869
27,346401,https://www.decathlon.com.tr/p/erkek-salon-futbolu-ayakkabisi-100/_/R-p-346401?mc=8808715&c=S%C4%B0YAH_GR%C4%B0,futbol,Kipsta,₺1.540,,421
28,311415,https://www.decathlon.com.tr/p/cocuk-krampon-futbol-ayakkabisi-turuncu-clr-fg/_/R-p-311415?mc=8893275&c=BEYAZ,futbol,Kipsta,₺2.790,,146
29,342999,https://www.decathlon.com.tr/p/cocuk-krampon-futbol-ayakkabisi-mavi-viralto-i-easy-mg-ag/_/R-p-342999?mc=8917491&c=MAV%C4%B0,futbol,Kipsta,₺1.890,,327
30,310306,https://www.decathlon.com.tr/p/cocuk-futsal-ayakkabisi-salon-ayakkabisi-kirmizi-siyah-ginka-500/_/R-p-310306?mc=8771042&c=S%C4%B0YAH_MAV%C4%B0_KIRMIZI,futbol,Kipsta,₺1.590,,484
31,382615,https://www.decathlon.com.tr/p/yetiskin-krampon-futbol-ayakkabisi-lotto-davies/_/R-p-382615?mc=9006813,futbol,Lotto,₺2.190,,3
