SIRA NO,URUN NO,LINK-AD,SPOR DALI,MARKA,FIYAT,TUM YILDIZ,TUM YORUM
1,337693,https://www.decathlon.com.tr/p/erkek-kosu-ayakkabisi-gri-turuncu-jogflow-100-1/_/R-p-337693?mc=8733464&c=S%C4%B0YAH_BEYAZ,kosu,Kalenji,₺1.290,,14825
2,339940,https://www.decathlon.com.tr/p/erkek-kosu-ayakkabisi-gri-jogflow-190-1-kosu/_/R-p-339940?mc=8757334&c=S%C4%B0YAH_GR%C4%B0,kosu,Kiprun,₺1.790,,7378
3,9713,https://www.decathlon.com.tr/p/erkek-spor-ayakkabi-gri-ekiden-one/_/R-p-9713?mc=8351755&c=GR%C4%B0_BEYAZ,kosu,Decathlon,₺1.090,,9977
4,9711,https://www.decathlon.com.tr/p/ekiden-one-kosu-ayakkabisi-kadin-saglikli-yasam-beyaz/_/R-p-9711?mc=8351800&c=MAV%C4%B0,kosu,Decathlon,₺1.090,,3440
5,348850,https://www.decathlon.com.tr/p/erkek-kosu-arazi-kosusu-ayakkabisi-mavi-kiprun-jf-190-grip/_/R-p-348850?mc=8883621&c=S%C4%B0YAH_GR%C4%B0,kosu,Kiprun,₺2.190,,4926
6,342258,https://www.decathlon.com.tr/p/cocuk-kosu-ayakkabisi-0-drop-yesil-sari-siyah-kiprun-kn500/_/R-p-342258?mc=8832634&c=YE%C5%9E%C4%B0L,kosu,Kiprun,₺1.390,,706
7,353286,https://www.decathlon.com.tr/p/erkek-kosu-ayakkabisi-mavi-beyaz-kiprun-kipcore/_/R-p-353286?mc=8873071&c=S%C4%B0YAH_BEYAZ,kosu,Kiprun,₺2.590,,3748
8,348767,https://www.decathlon.com.tr/p/kadin-kosu-arazi-kosusu-ayakkabisi-gri-pembe-jf190-grip/_/R-p-348767?mc=8913975&c=PEMBE_GR%C4%B0_BEYAZ,kosu,Decathlon,₺2.190,,2759
9,312120,https://www.decathlon.com.tr/p/erkek-kosu-ayakkabisi-mavi-gri-tr2/_/R-p-312120?mc=8827180&c=KAHVERENG%C4%B0_GR%C4%B0,kosu,Kiprun,₺2.990,,3646
10,337743,https://www.decathlon.com.tr/p/kadin-kosu-ayakkabisi-gri-kiprun-jogflow-100-1/_/R-p-337743?mc=8913940&c=GR%C4%B0_BEYAZ,kosu,Kalenji,₺1.290,,4502
11,339950,https://www.decathlon.com.tr/p/kadin-kosu-ayakkabisi-pembe-jogflow-190-1/_/R-p-339950?mc=8832420&c=BEYAZ_MOR,kosu,Kiprun,₺1.790,,3298
12,338409,https://www.decathlon.com.tr/p/cocuk-kosu-ayakkabisi-siyah-beyaz-kiprun-k500-fast/_/R-p-338409?mc=8826358&c=MAV%C4%B0,kosu,Kiprun,₺2.250,,1254
13,361395,https://www.decathlon.com.tr/p/kadin-kosu-ayakkabisi-siyah-mercan-rengi-asics-gel-windhawk/_/R-p-361395?mc=8930459&c=S%C4%B0YAH_BEJ,kosu,Asics,₺3.290,,730
14,329258,https://www.decathlon.com.tr/p/kuzey-disiplini-yuruyusu-ayakkabisi-siyah-nw-980/_/R-p-329258?mc=8606103&c=S%C4%B0YAH_MAV%C4%B0_YE%C5%9E%C4%B0L,kosu,Newfeel,₺4.290,,391
15,347115,https://www.decathlon.com.tr/p/kadin-karbon-plakali-kosu-ayakkabisi-mor-kiprun-kd900x-ld/_/R-p-347115?mc=8931232&c=MOR_TURUNCU,kosu,Kiprun,₺8.290,,31
