SIRA NO,URUN NO,LINK-AD,SPOR DALI,MARKA,FIYAT,TUM YILDIZ,TUM YORUM
1,307854,https://www.decathlon.com.tr/p/erkek-outdoor-ayakkabi-gri-mh100/_/R-p-307854?mc=8555093&c=GR%C4%B0_MAV%C4%B0,outdoor_sporlar,Quechua,₺2.150,,5069
2,352773,https://www.decathlon.com.tr/p/erkek-outdoor-su-gecirmez-bot-gri-nh100/_/R-p-352773?mc=8871780&c=BEJ_GR%C4%B0,outdoor_sporlar,Quechua,₺2.190,,1689
3,338961,https://www.decathlon.com.tr/p/erkek-outdoor-kar-botu-su-gecirmez-siyah-nh100-mid/_/R-p-338961?mc=8737445&c=S%C4%B0YAH,outdoor_sporlar,Quechua,₺2.050,,3133
4,350783,https://www.decathlon.com.tr/p/erkek-outdoor-ayakkabi-siyah-nh50/_/R-p-350783?mc=8844095&c=S%C4%B0YAH_GR%C4%B0,outdoor_sporlar,Quechua,₺1.090,,6245
5,384342,https://www.decathlon.com.tr/p/erkek-outdoor-ayakkabi-terrex-skychaser-ax5/_/R-p-384342?mc=9015922,outdoor_sporlar,Terrex,₺6.990,,1
6,307238,https://www.decathlon.com.tr/p/kadin-outdoor-kar-botu-su-gecirmez-siyah-nh500-mid/_/R-p-307238?mc=8738739&c=S%C4%B0YAH,outdoor_sporlar,Quechua,₺2.750,,3767
7,336189,https://www.decathlon.com.tr/p/kadin-outdoor-su-gecirmez-bot-yesil-gri-mh100/_/R-p-336189?mc=8789351&c=RENKS%C4%B0Z_GR%C4%B0_YE%C5%9E%C4%B0L,outdoor_sporlar,Quechua,₺2.990,,1480
8,313049,https://www.decathlon.com.tr/p/cocuk-outdoor-ayakkabi-siyah-nh100/_/R-p-313049?mc=8853302&c=S%C4%B0YAH_MAV%C4%B0,outdoor_sporlar,Quechua,₺980,,2586
9,346370,https://www.decathlon.com.tr/p/kadin-outdoor-kar-botu-su-gecirmez-siyah-nh100-mid/_/R-p-346370?mc=8800108&c=S%C4%B0YAH_GR%C4%B0,outdoor_sporlar,Quechua,₺2.050,,994
10,308248,https://www.decathlon.com.tr/p/kadin-outdoor-ayakkabi-siyah-nh50/_/R-p-308248?mc=8553549&c=GR%C4%B0_YE%C5%9E%C4%B0L,outdoor_sporlar,Quechua,₺1.090,,1752
11,X8980810,https://www.decathlon.com.tr/p/adidas-anylander-ayakkabi/_/R-p-X8980810?mc=8980810,outdoor_sporlar,Adidas,₺4.990,,15
12,357593,https://www.decathlon.com.tr/p/cocuk-outdoor-ayakkabi-turuncu-crossrock/_/R-p-357593?mc=8913048&c=S%C4%B0YAH_TURUNCU,outdoor_sporlar,Quechua,₺2.490,,84
13,308263,https://www.decathlon.com.tr/p/kadin-outdoor-ayakkabi-mavi-nh500-fresh/_/R-p-308263?mc=8786763&c=GR%C4%B0_MAV%C4%B0,outdoor_sporlar,Quechua,₺1.850,,759
14,156123,https://www.decathlon.com.tr/p/kadin-outdoor-ayakkabi-gri-yesil-mh100/_/R-p-156123?mc=8612193&c=GR%C4%B0_YE%C5%9E%C4%B0L,outdoor_sporlar,Quechua,₺2.150,,3501
15,330874,https://www.decathlon.com.tr/p/erkek-su-gecirmez-outdoor-bot-gri-mh500-mid/_/R-p-330874?mc=8618767&c=KAHVERENG%C4%B0_MAV%C4%B0,outdoor_sporlar,Quechua,₺4.350,,5890
16,171860,https://www.decathlon.com.tr/p/kadin-outdoor-bot-mavi-nh100/_/R-p-171860?mc=8649282&c=KAHVERENG%C4%B0_GR%C4%B0,outdoor_sporlar,Quechua,₺1.590,,2698
17,357625,https://www.decathlon.com.tr/p/cocuk-outdoor-bot-mavi-crossrock/_/R-p-357625?mc=8913058&c=S%C4%B0YAH_TURUNCU,outdoor_sporlar,Quechua,₺2.750,,70
18,308079,https://www.decathlon.com.tr/p/erkek-outdoor-su-gecirmez-bot-mavi-nh100-mid/_/R-p-308079?mc=8554571&c=KAHVERENG%C4%B0_GR%C4%B0_MAV%C4%B0,outdoor_sporlar,Quechua,₺2.250,,3739
19,338586,https://www.decathlon.com.tr/p/cocuk-outdoor-ayakkabi-gri-nh500/_/R-p-338586?mc=8736029&c=KAHVERENG%C4%B0_GR%C4%B0_TURUNCU,outdoor_sporlar,Quechua,₺1.650,,418
20,340149,https://www.decathlon.com.tr/p/kadin-outdoor-kar-botu-su-gecirmez-siyah-mh500-mid/_/R-p-340149?mc=8756995&c=S%C4%B0YAH,outdoor_sporlar,Quechua,₺3.850,,346
21,350703,https://www.decathlon.com.tr/p/erkek-outdoor-kar-botu-su-gecirmez-deri-hibrid-kahverengi-nh500-mid/_/R-p-350703?mc=8928705&c=S%C4%B0YAH_KAHVERENG%C4%B0,outdoor_sporlar,Quechua,₺3.350,,846
22,330907,https://www.decathlon.com.tr/p/kadin-su-gecirmez-outdoor-ayakkabi-gri-mh500/_/R-p-330907?mc=8809163&c=S%C4%B0YAH_GR%C4%B0,outdoor_sporlar,Quechua,₺4.350,,4223
23,338630,https://www.decathlon.com.tr/p/cocuk-cirt-cirtli-outdoor-ayakkabi-gri-nh500/_/R-p-338630?mc=8736032&c=KAHVERENG%C4%B0_GR%C4%B0_TURUNCU,outdoor_sporlar,Quechua,₺1.650,,634
