SIRA NO,URUN NO,LINK-AD,SPOR DALI,MARKA,FIYAT,TUM YILDIZ,TUM YORUM
1,157932,https://www.decathlon.com.tr/p/cocuk-fitness-pateni-gri-kirmizi-fit3/_/R-p-157932?mc=8580560&c=RENKS%C4%B0Z_GR%C4%B0,paten,Oxelo,₺2.890,,7697
2,7961,https://www.decathlon.com.tr/p/cocuk-paten-mavi-sari-play5/_/R-p-7961?mc=8739811&c=YE%C5%9E%C4%B0L,paten,Oxelo,₺2.290,,2391
3,175672,https://www.decathlon.com.tr/p/yetiskin-fitness-pateni-siyah-gri-fit100/_/R-p-175672?mc=8614734&c=S%C4%B0YAH_RENKS%C4%B0Z,paten,Oxelo,₺2.990,,1372
4,324270,https://www.decathlon.com.tr/p/cocuk-pateni-mavi-learn-100/_/R-p-324270?mc=8842572&c=BEJ_YE%C5%9E%C4%B0L_TURUNCU,paten,Oxelo,₺1.490,,395
5,134505,https://www.decathlon.com.tr/p/cocuk-paten-pembe-mor-play-3/_/R-p-134505?mc=8366197&c=MAV%C4%B0_KIRMIZI,paten,Oxelo,₺1.590,,4265
6,168871,https://www.decathlon.com.tr/p/yetiskin-dort-tekerlekli-paten-beyaz-quad-100/_/R-p-168871?mc=8542831&c=S%C4%B0YAH,paten,Oxelo,₺2.690,,557
7,304480,https://www.decathlon.com.tr/p/dort-tekerlekli-paten-lila-100/_/R-p-304480?mc=8828302&c=GR%C4%B0_BEYAZ_MAV%C4%B0,paten,Oxelo,₺2.890,,976
8,324229,https://www.decathlon.com.tr/p/yetiskin-paten-mf-s-500-freeskate-hardboot/_/R-p-324229?mc=8641422&c=S%C4%B0YAH_YE%C5%9E%C4%B0L,paten,Oxelo,₺5.890,,20
9,15103,https://www.decathlon.com.tr/p/cocuk-fitness-pateni-mavi-beyaz-fit-5/_/R-p-15103?mc=8828265&c=BEYAZ_MAV%C4%B0,paten,Oxelo,₺3.790,,1978
10,335134,https://www.decathlon.com.tr/p/yetiskin-paten-3-tekerlekli-mf-s-900-freeskate-hardboot/_/R-p-335134?mc=8654643&c=S%C4%B0YAH_BEYAZ,paten,Oxelo,₺6.990,,10
11,338423,https://www.decathlon.com.tr/p/yetiskin-paten-gri-mf140/_/R-p-338423?mc=8735491&c=S%C4%B0YAH_GR%C4%B0_BEYAZ,paten,Oxelo,₺3.990,,138
12,147654,https://www.decathlon.com.tr/p/yetiskin-fitness-pateni-gri-fit500/_/R-p-147654?mc=8561743&c=GR%C4%B0,paten,Oxelo,₺4.690,,305
13,343447,https://www.decathlon.com.tr/p/dort-tekerlekli-paten-siyah-d500/_/R-p-343447?mc=8772744&c=S%C4%B0YAH_PEMBE_YE%C5%9E%C4%B0L,paten,Oxelo,₺4.390,,12
