SIRA NO,URUN NO,LINK-AD,SPOR DALI,MARKA,FIYAT,TUM YILDIZ,TUM YORUM
1,301054,https://www.decathlon.com.tr/p/erkek-yuruyus-ayakkabisi-siyah-pw-160-slip-on/_/R-p-301054?mc=8774141&c=S%C4%B0YAH_KAHVERENG%C4%B0_BEYAZ,yuruyus_ayakkabisi,Decathlon,₺1.490,,2614
2,329258,https://www.decathlon.com.tr/p/kuzey-disiplini-yuruyusu-ayakkabisi-siyah-nw-980/_/R-p-329258?mc=8606103&c=S%C4%B0YAH_MAV%C4%B0_YE%C5%9E%C4%B0L,yuruyus_ayakkabisi,Newfeel,₺3.050,,391
3,347004,https://www.decathlon.com.tr/p/erkek-spor-ayakkabi-siyah-klnj-be-essential/_/R-p-347004?mc=8803075&c=S%C4%B0YAH,yuruyus_ayakkabisi,Decathlon,₺1.290,,2880
4,304849,https://www.decathlon.com.tr/p/kadin-yuruyus-ayakkabisi-siyah-lila-pw-160-slip-on/_/R-p-304849?mc=8774167&c=S%C4%B0YAH_BEYAZ_MOR,yuruyus_ayakkabisi,Decathlon,₺1.490,,1849
5,X8846491,https://www.decathlon.com.tr/p/erkek-yuruyus-ayakkabisi-siyah-puma-smash-buck-v2/_/R-p-X8846491?mc=8846491,yuruyus_ayakkabisi,Puma,₺2.690,,9
6,346048,https://www.decathlon.com.tr/p/erkek-deri-spor-ayakkabi-beyaz-cj80/_/R-p-346048?mc=8914243&c=BEYAZ_MAV%C4%B0,yuruyus_ayakkabisi,Decathlon,₺2.350,,1251
7,347095,https://www.decathlon.com.tr/p/kadin-deri-spor-ayakkabi-beyaz-cj80/_/R-p-347095?mc=8803373&c=GR%C4%B0_BEYAZ,yuruyus_ayakkabisi,Decathlon,₺2.350,,750
8,382587,https://www.decathlon.com.tr/p/kadin-spor-ayakkabi-kar-buzlu-kahve-puma-carina-mia/_/R-p-382587?mc=9006281,yuruyus_ayakkabisi,Decathlon,₺4.690,,0
9,337435,https://www.decathlon.com.tr/p/erkek-yuruyus-ayakkabisi-gri-walk-protect-mesh/_/R-p-337435?mc=8731851&c=KAHVERENG%C4%B0_GR%C4%B0_BEYAZ,yuruyus_ayakkabisi,Decathlon,₺2.290,,3550
10,382481,https://www.decathlon.com.tr/p/erkek-spor-ayakkabi-siyah-lotto-norwell-5pr/_/R-p-382481?mc=9005864,yuruyus_ayakkabisi,Decathlon,₺2.990,,3
11,382456,https://www.decathlon.com.tr/p/kadin-spor-ayakkabi-beyaz-lumberjack-finster-5pr/_/R-p-382456?mc=9005903,yuruyus_ayakkabisi,Lumberjack,₺1.550,,0
12,347051,https://www.decathlon.com.tr/p/kadin-spor-ayakkabi-siyah-klnj-be-essential/_/R-p-347051?mc=8803078&c=S%C4%B0YAH,yuruyus_ayakkabisi,Decathlon,₺1.290,,1685
13,375308,https://www.decathlon.com.tr/p/kadin-spor-ayakkabi-beyaz-lumberjack-finster/_/R-p-375308?mc=8972526,yuruyus_ayakkabisi,Lumberjack,₺1.890,,2
14,346939,https://www.decathlon.com.tr/p/erkek-spor-ayakkabi-mavi-lacivert-klnj-be-fresh/_/R-p-346939?mc=8803079&c=MAV%C4%B0,yuruyus_ayakkabisi,Decathlon,₺1.490,,2942
15,375186,https://www.decathlon.com.tr/p/erkek-spor-ayakkabi-siyah-lumberjack-dare/_/R-p-375186?mc=8971695,yuruyus_ayakkabisi,Lumberjack,₺1.990,,9
16,304877,https://www.decathlon.com.tr/p/kadin-kuzey-disiplini-yuruyusu-ayakkabisi-yesil-haki-nw-500/_/R-p-304877?mc=8789843&c=KAHVERENG%C4%B0_YE%C5%9E%C4%B0L,yuruyus_ayakkabisi,Newfeel,₺1.690,,715
17,363520,https://www.decathlon.com.tr/p/kadin-spor-ayakkabi-beyaz-adidas-advantage-base/_/R-p-363520?mc=8938700,yuruyus_ayakkabisi,Adidas,₺2.490,,1
18,375650,https://www.decathlon.com.tr/p/kadin-spor-ayakkabi-mavi-puma-club-ii-w-peaceful/_/R-p-375650?mc=8973658,yuruyus_ayakkabisi,Puma,₺2.990,,0
