SIRA_NO,URUN_NO,LINK_AD,SPOR_DALI,MARKA,FIYAT,TUM_YILDIZ,TUM_YORUM,kullanilan_sure,genel_puan,yorum
5,306199,https://www.decathlon.com.tr/r/yetiskin-binicilik-botu-siyah-100/_/R-p-306199?mc=8543212&c=S%C4%B0YAH,at_binicilik,Fouganza,1150,4.63,1088,Kullanılan süre 2 ile 8 hafta arası tarihinden beri,5,Çok şık ve kaliteli tavsiye ederim tam bedeninizi alın
5,306199,https://www.decathlon.com.tr/r/yetiskin-binicilik-botu-siyah-100/_/R-p-306199?mc=8543212&c=S%C4%B0YAH,at_binicilik,Fouganza,1150,4.63,1088,Kullanılan süre 2 ile 8 hafta arası tarihinden beri,5,günlük hayatta 39-40 giyiyorum ama 39 tam oldu giymesi çıkarması da kolay sıcak havalarda fazla terletiyor
5,306199,https://www.decathlon.com.tr/r/yetiskin-binicilik-botu-siyah-100/_/R-p-306199?mc=8543212&c=S%C4%B0YAH,at_binicilik,Fouganza,1150,4.63,1088,Kullanılan süre 3 ile 6 ay arası tarihinden beri,5,binicilik için yeterli bir ürün.
5,306199,https://www.decathlon.com.tr/r/yetiskin-binicilik-botu-siyah-100/_/R-p-306199?mc=8543212&c=S%C4%B0YAH,at_binicilik,Fouganza,1150,4.63,1088,Kullanılan süre 2 ile 8 hafta arası tarihinden beri,5,Üründen çok memnunum. Eğer çok çamur olan bir çiftlikte kullanacaksanız daha uzun bir modelini almanızı tavsiye ederim.
5,306199,https://www.decathlon.com.tr/r/yetiskin-binicilik-botu-siyah-100/_/R-p-306199?mc=8543212&c=S%C4%B0YAH,at_binicilik,Fouganza,1150,4.63,1088,Kullanılan süre 2 ile 8 hafta arası tarihinden beri,5,Kullanisli bir urun. Fiyat performans olarak gayet iyi.
5,306199,https://www.decathlon.com.tr/r/yetiskin-binicilik-botu-siyah-100/_/R-p-306199?mc=8543212&c=S%C4%B0YAH,at_binicilik,Fouganza,1150,4.63,1088,Kullanılan süre 1 hafta ya da daha az tarihinden beri,5,Çok sağlam ve binicilik sporuna çok uygun bir bot. Uzun bot almaktansa bunu alıp dizlik almak çok mantıklı
5,306199,https://www.decathlon.com.tr/r/yetiskin-binicilik-botu-siyah-100/_/R-p-306199?mc=8543212&c=S%C4%B0YAH,at_binicilik,Fouganza,1150,4.63,1088,Kullanılan süre 2 ile 8 hafta arası tarihinden beri,5,"Su geçirmiyor, rahat. Yapısı esnek plastik gibi."
5,306199,https://www.decathlon.com.tr/r/yetiskin-binicilik-botu-siyah-100/_/R-p-306199?mc=8543212&c=S%C4%B0YAH,at_binicilik,Fouganza,1150,4.63,1088,Kullanılan süre 2 ile 8 hafta arası tarihinden beri,5,Binicilik sporuna yeni başladım ve aldığım ilk bot oldu dışarıdan bakıldığında sanki pek rahat değil hissi uyandırsa da çok rahat bir bot. Belki çoğumuzun giydiği ayakkabılardan bile rahat. Kalıp olarak tam kalıp diyebilirim. Ben ayakkabı çekeceği olmadan giyemiyorum ayak kısmı biraz esneklik açısından rahat değil ve çepsden de oldukça memnunum. Su geçirmez atımı yıkadım ve geçirmediğini onayladım.
5,306199,https://www.decathlon.com.tr/r/yetiskin-binicilik-botu-siyah-100/_/R-p-306199?mc=8543212&c=S%C4%B0YAH,at_binicilik,Fouganza,1150,4.63,1088,Kullanılan süre 2 ile 8 hafta arası tarihinden beri,5,Başlangıç seviyesi için ideal fiyat performans ürünü
5,306199,https://www.decathlon.com.tr/r/yetiskin-binicilik-botu-siyah-100/_/R-p-306199?mc=8543212&c=S%C4%B0YAH,at_binicilik,Fouganza,1150,4.63,1088,Kullanılan süre 7 ile 12 ay arası tarihinden beri,5,kış ayında zor çok üşütüyor
5,306199,https://www.decathlon.com.tr/r/yetiskin-binicilik-botu-siyah-100/_/R-p-306199?mc=8543212&c=S%C4%B0YAH,at_binicilik,Fouganza,1150,4.63,1088,Kullanılan süre 2 ile 8 hafta arası tarihinden beri,5,Binicilikte kullanırken çok rahat ediyorum. Tavsiye edebileceğim bir ürün
5,306199,https://www.decathlon.com.tr/r/yetiskin-binicilik-botu-siyah-100/_/R-p-306199?mc=8543212&c=S%C4%B0YAH,at_binicilik,Fouganza,1150,4.63,1088,Kullanılan süre 1 yıldan daha fazla tarihinden beri,3,önceki botların tabanları tamdı şimdi yeni yapılan botların topuk kısmı bölmeli olduğu için zamanla içlik eridiğinde ya da ezildiğinde o bölmeler topuğa iz yaparak rahatsız etmekte hatta ağrı yapmakta
5,306199,https://www.decathlon.com.tr/r/yetiskin-binicilik-botu-siyah-100/_/R-p-306199?mc=8543212&c=S%C4%B0YAH,at_binicilik,Fouganza,1150,4.63,1088,Kullanılan süre 1 yıldan daha fazla tarihinden beri,5,İyi
5,306199,https://www.decathlon.com.tr/r/yetiskin-binicilik-botu-siyah-100/_/R-p-306199?mc=8543212&c=S%C4%B0YAH,at_binicilik,Fouganza,1150,4.63,1088,Kullanılan süre 1 hafta ya da daha az tarihinden beri,4,Fiyat a göre fena değil
