"URUN_NO","LINK_AD","SPOR_DALI","MARKA","FIYAT","TUM_YILDIZ","YORUM_YILDIZ","YORUM_KULLANIM_SURESI","YORUM","YORUMUN_POLARITESI"
"20","https://www.decathlon.com.tr/r/kadin-su-gecirmez-outdoor-ayakkabi-gri-mh500/_/R-p-330907?mc=8809163&c=S%C4%B0YAH_GR%C4%B0","outdoor_sporlar","Quechua","4350","4.7","5","Kullanılan süre 2 ile 8 hafta arası tarihinden beri","Güzel ürün tavsiye ederim",""
"20","https://www.decathlon.com.tr/r/kadin-su-gecirmez-outdoor-ayakkabi-gri-mh500/_/R-p-330907?mc=8809163&c=S%C4%B0YAH_GR%C4%B0","outdoor_sporlar","Quechua","4350","4.7","5","Kullanılan süre 1 hafta ya da daha az tarihinden beri","Gayet rahat bir ayakkabı",""
"20","https://www.decathlon.com.tr/r/kadin-su-gecirmez-outdoor-ayakkabi-gri-mh500/_/R-p-330907?mc=8809163&c=S%C4%B0YAH_GR%C4%B0","outdoor_sporlar","Quechua","4350","4.7","5","Kullanılan süre 3 ile 6 ay arası tarihinden beri","Süper rahat",""
"20","https://www.decathlon.com.tr/r/kadin-su-gecirmez-outdoor-ayakkabi-gri-mh500/_/R-p-330907?mc=8809163&c=S%C4%B0YAH_GR%C4%B0","outdoor_sporlar","Quechua","4350","4.7","5","Kullanılan süre 1 hafta ya da daha az tarihinden beri","Rahattı, yagmur altında gıymeme ragmen su geçirmedİ. Görünüş olarak çok şık. Yalnızca yagmurla karsılastıktan sonra bekledıgımden fazla esnedi. şimdilik memnunum.",""
"20","https://www.decathlon.com.tr/r/kadin-su-gecirmez-outdoor-ayakkabi-gri-mh500/_/R-p-330907?mc=8809163&c=S%C4%B0YAH_GR%C4%B0","outdoor_sporlar","Quechua","4350","4.7","3","Kullanılan süre 3 ile 6 ay arası tarihinden beri","şiddetli sağanaklarda ayakta nemlenme yaptı. parmak kısımları da oldukça sert. tasarımı görüntüsünü sevdim. zamanla ayağımın şeklini alır daha konforlu olur diye düşündüm ancak hala sert.",""
"20","https://www.decathlon.com.tr/r/kadin-su-gecirmez-outdoor-ayakkabi-gri-mh500/_/R-p-330907?mc=8809163&c=S%C4%B0YAH_GR%C4%B0","outdoor_sporlar","Quechua","4350","4.7","5","Kullanılan süre 2 ile 8 hafta arası tarihinden beri","epey sağlam",""
"20","https://www.decathlon.com.tr/r/kadin-su-gecirmez-outdoor-ayakkabi-gri-mh500/_/R-p-330907?mc=8809163&c=S%C4%B0YAH_GR%C4%B0","outdoor_sporlar","Quechua","4350","4.7","5","Kullanılan süre 2 ile 8 hafta arası tarihinden beri","Ayağımdan ameliyat olduğum için kolay kolay botlarla rahat edemiyorum, yaz gelmesin ve ayağımdan bunları hiç çıkarmayayım istedim inanılmaz rahat",""
"20","https://www.decathlon.com.tr/r/kadin-su-gecirmez-outdoor-ayakkabi-gri-mh500/_/R-p-330907?mc=8809163&c=S%C4%B0YAH_GR%C4%B0","outdoor_sporlar","Quechua","4350","4.7","3","Kullanılan süre 1 yıldan daha fazla tarihinden beri","Merhabalar, 
su geçirmezliği, rahatlığı, ayağı sıcak tutması gayet güzel ve yeterli geldi bana.
benim için tek eksisi geçen sene aldığım ayakkabı (sürekli kullanmamama rağmen), çok çabuk deforme oldu ve kötü görünüyor. tabanın yan tarafındaki açık gri alanda kırışık çatlaklıklar oluştu ve üst kısmı da formunu kaybetti. Kötü görüntüsünden dolayı şu an kullanamıyorum ve bu da açıkçası beni üzdü.",""
"20","https://www.decathlon.com.tr/r/kadin-su-gecirmez-outdoor-ayakkabi-gri-mh500/_/R-p-330907?mc=8809163&c=S%C4%B0YAH_GR%C4%B0","outdoor_sporlar","Quechua","4350","4.7","5","Kullanılan süre 2 ile 8 hafta arası tarihinden beri","ısı yalıtımı iyi ve ayağı kavrıyor",""
"20","https://www.decathlon.com.tr/r/kadin-su-gecirmez-outdoor-ayakkabi-gri-mh500/_/R-p-330907?mc=8809163&c=S%C4%B0YAH_GR%C4%B0","outdoor_sporlar","Quechua","4350","4.7","5","Kullanılan süre 1 hafta ya da daha az tarihinden beri","uzun doğa yürüyüşleri için tam aradığım bot. bütün yürüyüş boyunca ayağınız hem sıcak, hem de kuru kalacak.
kesinlikle harika",""
"20","https://www.decathlon.com.tr/r/kadin-su-gecirmez-outdoor-ayakkabi-gri-mh500/_/R-p-330907?mc=8809163&c=S%C4%B0YAH_GR%C4%B0","outdoor_sporlar","Quechua","4350","4.7","4","Kullanılan süre 3 ile 6 ay arası tarihinden beri","Memnumm iyi bir orun",""
"20","https://www.decathlon.com.tr/r/kadin-su-gecirmez-outdoor-ayakkabi-gri-mh500/_/R-p-330907?mc=8809163&c=S%C4%B0YAH_GR%C4%B0","outdoor_sporlar","Quechua","4350","4.7","5","Kullanılan süre 2 ile 8 hafta arası tarihinden beri","Ürün fiyat performans açısından son derece mantıklı. Ürün satılırken verilen bilgiler tamamen doğruydu.",""
"20","https://www.decathlon.com.tr/r/kadin-su-gecirmez-outdoor-ayakkabi-gri-mh500/_/R-p-330907?mc=8809163&c=S%C4%B0YAH_GR%C4%B0","outdoor_sporlar","Quechua","4350","4.7","2","Kullanılan süre 1 hafta ya da daha az tarihinden beri","İlk giyişimde tabanının burun kısmında parçalanmalar oldu. İlk defa böyle bir şey yaşadım. Ürünün kalitesini sorgulattı. Memnun kalmadım.",""
"20","https://www.decathlon.com.tr/r/kadin-su-gecirmez-outdoor-ayakkabi-gri-mh500/_/R-p-330907?mc=8809163&c=S%C4%B0YAH_GR%C4%B0","outdoor_sporlar","Quechua","4350","4.7","5","Kullanılan süre 2 ile 8 hafta arası tarihinden beri","ürünü daha önce ayni markanin ayakkabisini memnuniyetle kullandigim icin aldim ancak taban ter çekmiyor kesinlikle ayaginiz islak kalıyor bilseydim daha onceki ayakkbidan tekrar alirdim",""
