"URUN_NO","LINK_AD","SPOR_DALI","MARKA","FIYAT","TUM_YILDIZ","YORUM_YILDIZ","YORUM_KULLANIM_SURESI","YORUM","YORUMUN_POLARITESI"
"6","https://www.decathlon.com.tr/r/cocuk-mavi-cirt-cirtli-spor-ayakkabi-ts130/_/R-p-126008?mc=8605310&c=BEYAZ_MAV%C4%B0_TURUNCU","tenis","Decathlon","1290","4.7","5","Kullanılan süre 1 hafta ya da daha az tarihinden beri","Mükemmel",""
"6","https://www.decathlon.com.tr/r/cocuk-mavi-cirt-cirtli-spor-ayakkabi-ts130/_/R-p-126008?mc=8605310&c=BEYAZ_MAV%C4%B0_TURUNCU","tenis","Decathlon","1290","4.7","5","Kullanılan süre 1 hafta ya da daha az tarihinden beri","Süper",""
"6","https://www.decathlon.com.tr/r/cocuk-mavi-cirt-cirtli-spor-ayakkabi-ts130/_/R-p-126008?mc=8605310&c=BEYAZ_MAV%C4%B0_TURUNCU","tenis","Decathlon","1290","4.7","5","Kullanılan süre 1 hafta ya da daha az tarihinden beri","Memnun kaldık",""
"6","https://www.decathlon.com.tr/r/cocuk-mavi-cirt-cirtli-spor-ayakkabi-ts130/_/R-p-126008?mc=8605310&c=BEYAZ_MAV%C4%B0_TURUNCU","tenis","Decathlon","1290","4.7","4","Kullanılan süre 1 hafta ya da daha az tarihinden beri","Esnek ve tam kalıp tavsiye ederim çok da rahat",""
"6","https://www.decathlon.com.tr/r/cocuk-mavi-cirt-cirtli-spor-ayakkabi-ts130/_/R-p-126008?mc=8605310&c=BEYAZ_MAV%C4%B0_TURUNCU","tenis","Decathlon","1290","4.7","5","Kullanılan süre 2 ile 8 hafta arası tarihinden beri","Çok iyi",""
"6","https://www.decathlon.com.tr/r/cocuk-mavi-cirt-cirtli-spor-ayakkabi-ts130/_/R-p-126008?mc=8605310&c=BEYAZ_MAV%C4%B0_TURUNCU","tenis","Decathlon","1290","4.7","5","Kullanılan süre 2 ile 8 hafta arası tarihinden beri","Rahat ve kullanışlı",""
"6","https://www.decathlon.com.tr/r/cocuk-mavi-cirt-cirtli-spor-ayakkabi-ts130/_/R-p-126008?mc=8605310&c=BEYAZ_MAV%C4%B0_TURUNCU","tenis","Decathlon","1290","4.7","4","Kullanılan süre 1 hafta ya da daha az tarihinden beri","Beklediğim gibi bir ürün esnek ve gayet kullanışlı",""
"6","https://www.decathlon.com.tr/r/cocuk-mavi-cirt-cirtli-spor-ayakkabi-ts130/_/R-p-126008?mc=8605310&c=BEYAZ_MAV%C4%B0_TURUNCU","tenis","Decathlon","1290","4.7","1","Kullanılan süre 1 hafta ya da daha az tarihinden beri","kalıp küçük",""
"6","https://www.decathlon.com.tr/r/cocuk-mavi-cirt-cirtli-spor-ayakkabi-ts130/_/R-p-126008?mc=8605310&c=BEYAZ_MAV%C4%B0_TURUNCU","tenis","Decathlon","1290","4.7","5","Kullanılan süre 1 hafta ya da daha az tarihinden beri","Su geçirmez özelliğin olması gayet güzel oldu bunun ayağına uydu ve ayakkabıyı çok sevdi",""
"6","https://www.decathlon.com.tr/r/cocuk-mavi-cirt-cirtli-spor-ayakkabi-ts130/_/R-p-126008?mc=8605310&c=BEYAZ_MAV%C4%B0_TURUNCU","tenis","Decathlon","1290","4.7","3","Kullanılan süre 2 ile 8 hafta arası tarihinden beri","Yırtıldı",""
"6","https://www.decathlon.com.tr/r/cocuk-mavi-cirt-cirtli-spor-ayakkabi-ts130/_/R-p-126008?mc=8605310&c=BEYAZ_MAV%C4%B0_TURUNCU","tenis","Decathlon","1290","4.7","5","Kullanılan süre 2 ile 8 hafta arası tarihinden beri","Parçalayamadık. çok sağlam. tekrar alacağım",""
"6","https://www.decathlon.com.tr/r/cocuk-mavi-cirt-cirtli-spor-ayakkabi-ts130/_/R-p-126008?mc=8605310&c=BEYAZ_MAV%C4%B0_TURUNCU","tenis","Decathlon","1290","4.7","5","Kullanılan süre 2 ile 8 hafta arası tarihinden beri","Çok kaliteli ve fiyatı ugun",""
"6","https://www.decathlon.com.tr/r/cocuk-mavi-cirt-cirtli-spor-ayakkabi-ts130/_/R-p-126008?mc=8605310&c=BEYAZ_MAV%C4%B0_TURUNCU","tenis","Decathlon","1290","4.7","5","Kullanılan süre 1 yıldan daha fazla tarihinden beri","fiyat performans",""
"6","https://www.decathlon.com.tr/r/cocuk-mavi-cirt-cirtli-spor-ayakkabi-ts130/_/R-p-126008?mc=8605310&c=BEYAZ_MAV%C4%B0_TURUNCU","tenis","Decathlon","1290","4.7","5","Kullanılan süre 1 hafta ya da daha az tarihinden beri","Severek giğiyor oğlum.",""
"6","https://www.decathlon.com.tr/r/cocuk-mavi-cirt-cirtli-spor-ayakkabi-ts130/_/R-p-126008?mc=8605310&c=BEYAZ_MAV%C4%B0_TURUNCU","tenis","Decathlon","1290","4.7","5","Kullanılan süre 1 yıldan daha fazla tarihinden beri","Rahat şık ve konforlu bir ürün memnun kaldık.",""
