"URUN_NO","LINK_AD","SPOR_DALI","MARKA","FIYAT","TUM_YILDIZ","YORUM_YILDIZ","YORUM_KULLANIM_SURESI","YORUM","YORUMUN_POLARITESI"
"7","https://www.decathlon.com.tr/r/dort-tekerlekli-paten-lila-100/_/R-p-304480?mc=8828302&c=GR%C4%B0_BEYAZ_MAV%C4%B0","paten","Oxelo","2890","4.8","5","Kullanılan süre 2 ile 8 hafta arası tarihinden beri","Kızım için aldım. Çok kaliteli, sürüşü çok yumuşak. Kızım da ben de çok beğendik.",""
"7","https://www.decathlon.com.tr/r/dort-tekerlekli-paten-lila-100/_/R-p-304480?mc=8828302&c=GR%C4%B0_BEYAZ_MAV%C4%B0","paten","Oxelo","2890","4.8","5","Kullanılan süre 2 ile 8 hafta arası tarihinden beri","kalitesi iyi",""
"7","https://www.decathlon.com.tr/r/dort-tekerlekli-paten-lila-100/_/R-p-304480?mc=8828302&c=GR%C4%B0_BEYAZ_MAV%C4%B0","paten","Oxelo","2890","4.8","5","Kullanılan süre 2 ile 8 hafta arası tarihinden beri","Kızım çok beğendi herkese tavsiye ederim",""
"7","https://www.decathlon.com.tr/r/dort-tekerlekli-paten-lila-100/_/R-p-304480?mc=8828302&c=GR%C4%B0_BEYAZ_MAV%C4%B0","paten","Oxelo","2890","4.8","5","Kullanılan süre 1 hafta ya da daha az tarihinden beri","35 numarasını gönderebilir misiniz",""
"7","https://www.decathlon.com.tr/r/dort-tekerlekli-paten-lila-100/_/R-p-304480?mc=8828302&c=GR%C4%B0_BEYAZ_MAV%C4%B0","paten","Oxelo","2890","4.8","4","Kullanılan süre 2 ile 8 hafta arası tarihinden beri","Guzel",""
"7","https://www.decathlon.com.tr/r/dort-tekerlekli-paten-lila-100/_/R-p-304480?mc=8828302&c=GR%C4%B0_BEYAZ_MAV%C4%B0","paten","Oxelo","2890","4.8","5","Kullanılan süre 2 ile 8 hafta arası tarihinden beri","Yeğen için aldım çok beğendi ve memnun kaldı. Emeği geçen herkese teşekkür ederiz",""
"7","https://www.decathlon.com.tr/r/dort-tekerlekli-paten-lila-100/_/R-p-304480?mc=8828302&c=GR%C4%B0_BEYAZ_MAV%C4%B0","paten","Oxelo","2890","4.8","5","Kullanılan süre 2 ile 8 hafta arası tarihinden beri","kızım severek kullanıyor",""
"7","https://www.decathlon.com.tr/r/dort-tekerlekli-paten-lila-100/_/R-p-304480?mc=8828302&c=GR%C4%B0_BEYAZ_MAV%C4%B0","paten","Oxelo","2890","4.8","4","Kullanılan süre 2 ile 8 hafta arası tarihinden beri","9 yaşında oğluma aldım, 4 teker üzerinde öğrenmesi kolaydır diye düşünülmesine rağmen sıralı teker (inline) patene göre daha zordur. Fakat artistik paten olduğu için öğrenildikten sonra yapılabilecek hareketler çok daha estetik ve sanki buz pateni pisti üzerinde kayar gibi sürekli ayakları zeminden kaldırmadan kayabiliyor. İlk öğrenim aşaması geçtikten sonra tekerlerin daha hızlı dönmesi için anahtar ile tekerleri gevşetmek ve dönüşleri, limon, kar sapanı vb. hareketleri yapabilmesi için paten altındaki desteği de gevşetmek gerekli. Tavsiye edilir. Özellikle bu aralar yetişkin modelleri de indirimde.",""
"7","https://www.decathlon.com.tr/r/dort-tekerlekli-paten-lila-100/_/R-p-304480?mc=8828302&c=GR%C4%B0_BEYAZ_MAV%C4%B0","paten","Oxelo","2890","4.8","4","Kullanılan süre 2 ile 8 hafta arası tarihinden beri","Başlangıç için güzel bir paten. Oğlum hemen alıştı. Tekerler oldukça sağlam duruyor. Gozrunusu de güzel.",""
"7","https://www.decathlon.com.tr/r/dort-tekerlekli-paten-lila-100/_/R-p-304480?mc=8828302&c=GR%C4%B0_BEYAZ_MAV%C4%B0","paten","Oxelo","2890","4.8","5","Kullanılan süre 2 ile 8 hafta arası tarihinden beri","Kızım çok sevdi, teker yapisindan dolayı kolayca alıştı",""
