"URUN_NO","LINK_AD","SPOR_DALI","MARKA","FIYAT","TUM_YILDIZ","YORUM_YILDIZ","YORUM_KULLANIM_SURESI","YORUM","YORUMUN_POLARITESI"
"1","https://www.decathlon.com.tr/r/erkek-snowboard-ayakkabisi-siyah-snb-100/_/R-p-327044?mc=8872187&c=S%C4%B0YAH_BEJ","snowboard","Dreamscape","6250","4.7","5","Kullanılan süre 2 ile 8 hafta arası tarihinden beri","ürün gerçekten başarılı söylenildiği gibi flex up a gerek yok",""
"1","https://www.decathlon.com.tr/r/erkek-snowboard-ayakkabisi-siyah-snb-100/_/R-p-327044?mc=8872187&c=S%C4%B0YAH_BEJ","snowboard","Dreamscape","6250","4.7","5","Kullanılan süre 2 ile 8 hafta arası tarihinden beri","Hafif hemen giyilen bir bot. Snowboardda yeni olanlar için güzel seçim olur.",""
"1","https://www.decathlon.com.tr/r/erkek-snowboard-ayakkabisi-siyah-snb-100/_/R-p-327044?mc=8872187&c=S%C4%B0YAH_BEJ","snowboard","Dreamscape","6250","4.7","4","Kullanılan süre 1 hafta ya da daha az tarihinden beri","emsallerine kıyasla fiyatına göre çok güzel",""
"1","https://www.decathlon.com.tr/r/erkek-snowboard-ayakkabisi-siyah-snb-100/_/R-p-327044?mc=8872187&c=S%C4%B0YAH_BEJ","snowboard","Dreamscape","6250","4.7","5","Kullanılan süre 3 ile 6 ay arası tarihinden beri","çok iyi",""
"1","https://www.decathlon.com.tr/r/erkek-snowboard-ayakkabisi-siyah-snb-100/_/R-p-327044?mc=8872187&c=S%C4%B0YAH_BEJ","snowboard","Dreamscape","6250","4.7","5","Kullanılan süre 2 ile 8 hafta arası tarihinden beri","Başlangıç için harika hareketlerini boarda risk almadan aktarabiliyorsun",""
"1","https://www.decathlon.com.tr/r/erkek-snowboard-ayakkabisi-siyah-snb-100/_/R-p-327044?mc=8872187&c=S%C4%B0YAH_BEJ","snowboard","Dreamscape","6250","4.7","1","Kullanılan süre 2 ile 8 hafta arası tarihinden beri","Ürünü 5 kere kullandım flex-up takmadan kullanamazsınız kesinlikle ayağınız içinde oynar yeni başladıysanız 1 sezon götürüceğini düşünüyorum. Bol kara girdiğiniz ayaklarınız ıslanıyor tahmin ettiğim üzere su geçirmezliği kötü.",""
"1","https://www.decathlon.com.tr/r/erkek-snowboard-ayakkabisi-siyah-snb-100/_/R-p-327044?mc=8872187&c=S%C4%B0YAH_BEJ","snowboard","Dreamscape","6250","4.7","5","Kullanılan süre 1 hafta ya da daha az tarihinden beri","Ürün güzel kaliteli kiralamaktansa almanızı tavsiye ederim",""
"1","https://www.decathlon.com.tr/r/erkek-snowboard-ayakkabisi-siyah-snb-100/_/R-p-327044?mc=8872187&c=S%C4%B0YAH_BEJ","snowboard","Dreamscape","6250","4.7","5","Kullanılan süre 1 hafta ya da daha az tarihinden beri","parasının hakkını veriyor",""
"1","https://www.decathlon.com.tr/r/erkek-snowboard-ayakkabisi-siyah-snb-100/_/R-p-327044?mc=8872187&c=S%C4%B0YAH_BEJ","snowboard","Dreamscape","6250","4.7","5","Kullanılan süre 1 hafta ya da daha az tarihinden beri","Normal numaramdan daha büyüğünü aldım mağazadan deneyerek alınması daha iyi olur",""
"1","https://www.decathlon.com.tr/r/erkek-snowboard-ayakkabisi-siyah-snb-100/_/R-p-327044?mc=8872187&c=S%C4%B0YAH_BEJ","snowboard","Dreamscape","6250","4.7","5","Kullanılan süre 1 hafta ya da daha az tarihinden beri","Ürün tam bir fiyat performans ürünü",""
"1","https://www.decathlon.com.tr/r/erkek-snowboard-ayakkabisi-siyah-snb-100/_/R-p-327044?mc=8872187&c=S%C4%B0YAH_BEJ","snowboard","Dreamscape","6250","4.7","5","Kullanılan süre 1 hafta ya da daha az tarihinden beri","Öncelikle ürün tam fiyat performans ürünü 
-Giyip çıkarması çok kolay
-Kesinlikle su geçirmiyor
- hafif ve gün boyu sizi yormuyor 
Normal gündelik botlarım 43 numara 43 biraz sıktı ve 44 numara çok rahat oldu, ürünü alırken sertlik derecesi az olduğunu bildiğim için Flex-Up aldım gerçekten bot evrim geçirdi tam istediğim sertliğe geldi ilk önce Flex up olmadan kullanmak istiyordum ama ilk kullanımda çıkarmak istedim boarda bütün tepkileri hızlı bir şekilde iletiyor,
snowboard derecem başlangıç ortaya yakın, uzun yıllar çok rahat kullanırım görüntü olarak kaba durmuyor 2 yıldır takip ediyordum keşeke daha önce alsaydım dedim öncelik tamamen fiyat odaklı gittim ama 2 gün boyunca beni çok mutlu etti ve iyi ki almışım dedim düşenenlere tavsiye ediyorum gönül rahatlığı ile kullanabilirler",""
"1","https://www.decathlon.com.tr/r/erkek-snowboard-ayakkabisi-siyah-snb-100/_/R-p-327044?mc=8872187&c=S%C4%B0YAH_BEJ","snowboard","Dreamscape","6250","4.7","5","Kullanılan süre 2 ile 8 hafta arası tarihinden beri","Ürün ekonomık olduğu ıcın tercıh ettım bırde manuel olusu benı cezbettı dıgerlerı kolay olsada alısılmıs bır davranısı bozmak bana kolay gelmedı bot yumusak tabıkı ayagıbızda gundelık bır bot bar gıbı hıssetırmıyor ama baslangıc orta sevıye ıcın yeterlı sadece topuk kayarken destek olmadıgı ve yumusak olmadıgı ıcın boarda hareketımın %70’i gecıyor destek alınıp yerlestırecegım ayrıyeten ama fıyat performans olarak alınabılecek uzmeyecek bır bot",""
