"URUN_NO","LINK_AD","SPOR_DALI","MARKA","FIYAT","TUM_YILDIZ","YORUM_YILDIZ","YORUM_KULLANIM_SURESI","YORUM","YORUMUN_POLARITESI"
"2","https://www.decathlon.com.tr/r/erkek-spor-ayakkabi-siyah-klnj-be-essential/_/R-p-347004?mc=8803075&c=S%C4%B0YAH","yuruyus_ayakkabisi","Decathlon","1290","4.7","5","Kullanılan süre 2 ile 8 hafta arası tarihinden beri","Kaliteli urun",""
"2","https://www.decathlon.com.tr/r/erkek-spor-ayakkabi-siyah-klnj-be-essential/_/R-p-347004?mc=8803075&c=S%C4%B0YAH","yuruyus_ayakkabisi","Decathlon","1290","4.7","5","Kullanılan süre 2 ile 8 hafta arası tarihinden beri","Konforlu tavsiye ederim",""
"2","https://www.decathlon.com.tr/r/erkek-spor-ayakkabi-siyah-klnj-be-essential/_/R-p-347004?mc=8803075&c=S%C4%B0YAH","yuruyus_ayakkabisi","Decathlon","1290","4.7","5","Kullanılan süre 3 ile 6 ay arası tarihinden beri","Güzel",""
"2","https://www.decathlon.com.tr/r/erkek-spor-ayakkabi-siyah-klnj-be-essential/_/R-p-347004?mc=8803075&c=S%C4%B0YAH","yuruyus_ayakkabisi","Decathlon","1290","4.7","5","Kullanılan süre 3 ile 6 ay arası tarihinden beri","Çok güzel ürün çok rahat herkese tavsiye ederim",""
"2","https://www.decathlon.com.tr/r/erkek-spor-ayakkabi-siyah-klnj-be-essential/_/R-p-347004?mc=8803075&c=S%C4%B0YAH","yuruyus_ayakkabisi","Decathlon","1290","4.7","5","Kullanılan süre 2 ile 8 hafta arası tarihinden beri","Mukemmel",""
"2","https://www.decathlon.com.tr/r/erkek-spor-ayakkabi-siyah-klnj-be-essential/_/R-p-347004?mc=8803075&c=S%C4%B0YAH","yuruyus_ayakkabisi","Decathlon","1290","4.7","4","Kullanılan süre 2 ile 8 hafta arası tarihinden beri","rahat , güzel bir ayakkabı, fakat şoyle bi durum var 10 kmden fazla yürüyorsanız ayakta agrı olmaya başlıyor, daha düşük kmler için iyi,
firma personeli çok daha uzun yuruyuş için uygun taban tavsiye ederse daha iyi olur",""
"2","https://www.decathlon.com.tr/r/erkek-spor-ayakkabi-siyah-klnj-be-essential/_/R-p-347004?mc=8803075&c=S%C4%B0YAH","yuruyus_ayakkabisi","Decathlon","1290","4.7","5","Kullanılan süre 2 ile 8 hafta arası tarihinden beri","Günlük hayatta kullandığım bir spor ayakkabısı tavsiye ederim size",""
"2","https://www.decathlon.com.tr/r/erkek-spor-ayakkabi-siyah-klnj-be-essential/_/R-p-347004?mc=8803075&c=S%C4%B0YAH","yuruyus_ayakkabisi","Decathlon","1290","4.7","3","Kullanılan süre 2 ile 8 hafta arası tarihinden beri","Ürünü sadece yürüyüş icin uygun hava kosullarinda kullandım. Beklediğimden hızlı eskiyor.",""
"2","https://www.decathlon.com.tr/r/erkek-spor-ayakkabi-siyah-klnj-be-essential/_/R-p-347004?mc=8803075&c=S%C4%B0YAH","yuruyus_ayakkabisi","Decathlon","1290","4.7","4","Kullanılan süre 3 ile 6 ay arası tarihinden beri","Tek sorunu kumaşı ince ufak bir şeyde yırtıldı ama baya güzel fiyatına göre iyi dayandı",""
"2","https://www.decathlon.com.tr/r/erkek-spor-ayakkabi-siyah-klnj-be-essential/_/R-p-347004?mc=8803075&c=S%C4%B0YAH","yuruyus_ayakkabisi","Decathlon","1290","4.7","5","Kullanılan süre 2 ile 8 hafta arası tarihinden beri","Hafif rahat giyim için ideal",""
