"URUN_NO","LINK_AD","SPOR_DALI","MARKA","FIYAT","TUM_YILDIZ","YORUM_YILDIZ","YORUM_KULLANIM_SURESI","YORUM","YORUMUN_POLARITESI"
"1","https://www.decathlon.com.tr/r/kaya-tirmanisi-ayakkabisi-koyu-gri-klimb-v2/_/R-p-339875?mc=8871107&c=KAHVERENG%C4%B0_MAV%C4%B0","tirmanis_dagcilik","Simond","3590","4.6","5","Kullanılan süre 2 ile 8 hafta arası tarihinden beri","Bu ayakkabıyı özellikle orta seviye tırmanış rotalarında kullanmak üzere aldım. İlk başta biraz endişeliydim ama Koyu Gri - Klimb V2 modeli beklentilerimin üzerine çıktı.

Ayakkabı Numarası ve Uyum: Normalde 44 giymeme rağmen tırmanış ayakkabılarında hep olduğu gibi (44) tercih ettim ve tam ayağıma oturdu. Ayağı sıkıca sarmasına rağmen, uzun süreli seanslarda bile parmaklarımı yormayan rahat bir yapısı var.",""
"1","https://www.decathlon.com.tr/r/kaya-tirmanisi-ayakkabisi-koyu-gri-klimb-v2/_/R-p-339875?mc=8871107&c=KAHVERENG%C4%B0_MAV%C4%B0","tirmanis_dagcilik","Simond","3590","4.6","4","Kullanılan süre 1 hafta ya da daha az tarihinden beri","Yeni başlayacaklar muhtemelen çok geçmeden ayakkabıyı patlatacakları için başlangıçta uygun fiyatlı ve gayet yeterli bu modeli rercih edebilir.",""
"1","https://www.decathlon.com.tr/r/kaya-tirmanisi-ayakkabisi-koyu-gri-klimb-v2/_/R-p-339875?mc=8871107&c=KAHVERENG%C4%B0_MAV%C4%B0","tirmanis_dagcilik","Simond","3590","4.6","5","Kullanılan süre 2 ile 8 hafta arası tarihinden beri","Bence başlangıçta orta seviye bir ayakkabı olup ona sadık kalmak yerine, bu ayakkabı gibi bir başlangıç ayakkabısı alıp ileri seviyelere gelince iyi bir bütçeyle çok iyi bir ayakkabı almak mantıklı. Çünkü bunları giydiğimde orta seviye bir ayakkabıyla yapabileceğim herhangi bir şeyden geri kalmıyorum. Normal spor ayakkabılarda 45 numara giydiğim için 44 numara aldım. İlk giydiğimde ayağımı acı verecek sıktı hatta parmaklarım yara oldu. Birkaç gün evde 10-15-30 dk giydim ve şu an ayağıma göre bir şekil aldı. Parmaklarım hala bükük (bu normal) ve ayağım oldukça rahat ediyor.",""
"1","https://www.decathlon.com.tr/r/kaya-tirmanisi-ayakkabisi-koyu-gri-klimb-v2/_/R-p-339875?mc=8871107&c=KAHVERENG%C4%B0_MAV%C4%B0","tirmanis_dagcilik","Simond","3590","4.6","5","Kullanılan süre 2 ile 8 hafta arası tarihinden beri","Bir beden küçük almanızı tavsiye ederim",""
"1","https://www.decathlon.com.tr/r/kaya-tirmanisi-ayakkabisi-koyu-gri-klimb-v2/_/R-p-339875?mc=8871107&c=KAHVERENG%C4%B0_MAV%C4%B0","tirmanis_dagcilik","Simond","3590","4.6","5","Kullanılan süre 2 ile 8 hafta arası tarihinden beri","Kaya tırmanışlarımda vazgeçilmezim oldu",""
"1","https://www.decathlon.com.tr/r/kaya-tirmanisi-ayakkabisi-koyu-gri-klimb-v2/_/R-p-339875?mc=8871107&c=KAHVERENG%C4%B0_MAV%C4%B0","tirmanis_dagcilik","Simond","3590","4.6","4","Kullanılan süre 2 ile 8 hafta arası tarihinden beri","Başarılı bir fiyat-performans ürünü. Ayağınızda denemeden online sipariş etmenizi tavsiye etmem, beden çok farklı olabiliyor..",""
"1","https://www.decathlon.com.tr/r/kaya-tirmanisi-ayakkabisi-koyu-gri-klimb-v2/_/R-p-339875?mc=8871107&c=KAHVERENG%C4%B0_MAV%C4%B0","tirmanis_dagcilik","Simond","3590","4.6","3","Kullanılan süre 1 hafta ya da daha az tarihinden beri","Ayagima cok kucuk geldi kullanamiyorum",""
"1","https://www.decathlon.com.tr/r/kaya-tirmanisi-ayakkabisi-koyu-gri-klimb-v2/_/R-p-339875?mc=8871107&c=KAHVERENG%C4%B0_MAV%C4%B0","tirmanis_dagcilik","Simond","3590","4.6","5","Kullanılan süre 2 ile 8 hafta arası tarihinden beri","Fiyata göre alabileceğiniz en iyi deneyimlerden.",""
"1","https://www.decathlon.com.tr/r/kaya-tirmanisi-ayakkabisi-koyu-gri-klimb-v2/_/R-p-339875?mc=8871107&c=KAHVERENG%C4%B0_MAV%C4%B0","tirmanis_dagcilik","Simond","3590","4.6","5","Kullanılan süre 2 ile 8 hafta arası tarihinden beri","başlangıç seviyesi için oldukça iyi.",""
"1","https://www.decathlon.com.tr/r/kaya-tirmanisi-ayakkabisi-koyu-gri-klimb-v2/_/R-p-339875?mc=8871107&c=KAHVERENG%C4%B0_MAV%C4%B0","tirmanis_dagcilik","Simond","3590","4.6","5","Kullanılan süre 2 ile 8 hafta arası tarihinden beri","Ayakkabılar oldukça kaliteli. Tabanları Vibran süper kaliteli ve şık. ben 44,5-45 normal koşu ayakkabısı giymeme rağmen bu üründe tırmanış amaçlı 44 aldım. biraz sıkması iyidir.",""
"1","https://www.decathlon.com.tr/r/kaya-tirmanisi-ayakkabisi-koyu-gri-klimb-v2/_/R-p-339875?mc=8871107&c=KAHVERENG%C4%B0_MAV%C4%B0","tirmanis_dagcilik","Simond","3590","4.6","5","Kullanılan süre 3 ile 6 ay arası tarihinden beri","güzel",""
