"URUN_NO","LINK_AD","SPOR_DALI","MARKA","FIYAT","TUM_YILDIZ","YORUM_YILDIZ","YORUM_KULLANIM_SURESI","YORUM","YORUMUN_POLARITESI"
"5","https://www.decathlon.com.tr/r/voleybol-ayakkabisi-beyaz-500/_/R-p-351279?mc=8853251&c=BEYAZ","voleybol","Allsix","2490","4.8","5","Kullanılan süre 2 ile 8 hafta arası tarihinden beri","ben iş yerinde kullanmak icin aldim mukemmel derecede rahat ve ayak terletma yapmiyor en güzel kısmı bu benim icin ve ayakta durdugum için yormuyor",""
"5","https://www.decathlon.com.tr/r/voleybol-ayakkabisi-beyaz-500/_/R-p-351279?mc=8853251&c=BEYAZ","voleybol","Allsix","2490","4.8","5","Kullanılan süre 1 hafta ya da daha az tarihinden beri","Ç

ok rahat ve ayağı çok güzel kavrıyor. çok beğenerek aldım ve çok severek kullanıyorum.",""
"5","https://www.decathlon.com.tr/r/voleybol-ayakkabisi-beyaz-500/_/R-p-351279?mc=8853251&c=BEYAZ","voleybol","Allsix","2490","4.8","5","Kullanılan süre 2 ile 8 hafta arası tarihinden beri","ürünü yaklaşık 3 ay toplamda 12 13 defa kullanmış biri olarak söyleyeceğim şey gayet rahat , işlevini yerine getiren kaliteli bir ürün.",""
"5","https://www.decathlon.com.tr/r/voleybol-ayakkabisi-beyaz-500/_/R-p-351279?mc=8853251&c=BEYAZ","voleybol","Allsix","2490","4.8","5","Kullanılan süre 2 ile 8 hafta arası tarihinden beri","Ablama hediye olarak aldım rahat olduğunu darbe emmesinin orta olduğunu söyledi",""
"5","https://www.decathlon.com.tr/r/voleybol-ayakkabisi-beyaz-500/_/R-p-351279?mc=8853251&c=BEYAZ","voleybol","Allsix","2490","4.8","5","Kullanılan süre 2 ile 8 hafta arası tarihinden beri","Fiyatına karşılık nasl şahane bir ürün sağlam çok rahat başka renkleride olmalı kesinlikle olmalı",""
"5","https://www.decathlon.com.tr/r/voleybol-ayakkabisi-beyaz-500/_/R-p-351279?mc=8853251&c=BEYAZ","voleybol","Allsix","2490","4.8","5","Kullanılan süre 2 ile 8 hafta arası tarihinden beri","Kızıma voleybol kursu için aldım. Çok rahat ve memnun.",""
"5","https://www.decathlon.com.tr/r/voleybol-ayakkabisi-beyaz-500/_/R-p-351279?mc=8853251&c=BEYAZ","voleybol","Allsix","2490","4.8","5","Kullanılan süre 1 hafta ya da daha az tarihinden beri","Çok rahat bir ayakkabı.",""
"5","https://www.decathlon.com.tr/r/voleybol-ayakkabisi-beyaz-500/_/R-p-351279?mc=8853251&c=BEYAZ","voleybol","Allsix","2490","4.8","5","Kullanılan süre 2 ile 8 hafta arası tarihinden beri","Ürün gayet şık ve rahat. Görünüşüne kıyasla asla ağır değil. Saha içerisinde taban kaymazlığı iyi seviyede.",""
"5","https://www.decathlon.com.tr/r/voleybol-ayakkabisi-beyaz-500/_/R-p-351279?mc=8853251&c=BEYAZ","voleybol","Allsix","2490","4.8","5","Kullanılan süre 2 ile 8 hafta arası tarihinden beri","Bu fiyata bu donanım süper.Basketbol Antrenörü olarak kesinlikle tavsiye ediyorum.",""
"5","https://www.decathlon.com.tr/r/voleybol-ayakkabisi-beyaz-500/_/R-p-351279?mc=8853251&c=BEYAZ","voleybol","Allsix","2490","4.8","5","Kullanılan süre 2 ile 8 hafta arası tarihinden beri","Ürün çok güzel",""
