"URUN_NO","LINK_AD","SPOR_DALI","MARKA","FIYAT","TUM_YILDIZ","TUM_YORUM","YORUM_YILDIZ","YORUM_KULLANIM_SURESI","YORUM","YORUMUN_POLARITESI"
"10","https://www.decathlon.com.tr/r/avci-cizmesi-avcilik-ve-doga-gozlemi-kahverengi-100/_/R-p-325914?mc=8651762&c=S%C4%B0YAH_KAHVERENG%C4%B0","avcilik","Solognac","1450","4.5","0","5","Kullanılan süre 2 ile 8 hafta arası tarihinden beri","bedeni tam uyuyor",""
"10","https://www.decathlon.com.tr/r/avci-cizmesi-avcilik-ve-doga-gozlemi-kahverengi-100/_/R-p-325914?mc=8651762&c=S%C4%B0YAH_KAHVERENG%C4%B0","avcilik","Solognac","1450","4.5","0","5","Kullanılan süre 1 hafta ya da daha az tarihinden beri","İç yapısı çok güzel ve gayet kullanışlı ayrıca çok hafif, renk muazzam",""
"10","https://www.decathlon.com.tr/r/avci-cizmesi-avcilik-ve-doga-gozlemi-kahverengi-100/_/R-p-325914?mc=8651762&c=S%C4%B0YAH_KAHVERENG%C4%B0","avcilik","Solognac","1450","4.5","0","5","Kullanılan süre 2 ile 8 hafta arası tarihinden beri","Çok güzel bir çizme iç astarı sayesinde sıcak ve yumuşak koku yapmıyor,Tavsiye ederim",""
"10","https://www.decathlon.com.tr/r/avci-cizmesi-avcilik-ve-doga-gozlemi-kahverengi-100/_/R-p-325914?mc=8651762&c=S%C4%B0YAH_KAHVERENG%C4%B0","avcilik","Solognac","1450","4.5","0","4","Kullanılan süre 2 ile 8 hafta arası tarihinden beri","Güzel sıcak tutuyor normalde 42 giyiyorum 43/44 aldım ayağıma oluyor ama ben besanede kullanıyorum her gün kullanıyorum ayağımdan çıkartmada zorlanıyorum umarım yırtılmaz çıkartmaya çalışırken",""
"10","https://www.decathlon.com.tr/r/avci-cizmesi-avcilik-ve-doga-gozlemi-kahverengi-100/_/R-p-325914?mc=8651762&c=S%C4%B0YAH_KAHVERENG%C4%B0","avcilik","Solognac","1450","4.5","0","5","Kullanılan süre 2 ile 8 hafta arası tarihinden beri","Islak ve kayalık zeminde oldukça rahat kışın üşütmedi",""
"10","https://www.decathlon.com.tr/r/avci-cizmesi-avcilik-ve-doga-gozlemi-kahverengi-100/_/R-p-325914?mc=8651762&c=S%C4%B0YAH_KAHVERENG%C4%B0","avcilik","Solognac","1450","4.5","0","5","Kullanılan süre 2 ile 8 hafta arası tarihinden beri","Kıyı balıkçılığı için satın aldım. Ayakkabı numaram normalde 42-43. Satın aldığım ise 43-44. Ayağıma tam geldi. içinde müflonu var. Sıcak tutacağını ümit ediyorum. Sadece çıkarırken zorlanıyorsunuz, müflonla birlikte çıkıyor. Ama genel kullanımı rahatlığı ve hafifliği ürünü cazip kılıyor",""
"10","https://www.decathlon.com.tr/r/avci-cizmesi-avcilik-ve-doga-gozlemi-kahverengi-100/_/R-p-325914?mc=8651762&c=S%C4%B0YAH_KAHVERENG%C4%B0","avcilik","Solognac","1450","4.5","0","5","Kullanılan süre 2 ile 8 hafta arası tarihinden beri","daha önce aynı markanın farklı modelini kullanmıştım. bu da gayet güzel. yormuyor ve görevini yerine getiriyor",""
"10","https://www.decathlon.com.tr/r/avci-cizmesi-avcilik-ve-doga-gozlemi-kahverengi-100/_/R-p-325914?mc=8651762&c=S%C4%B0YAH_KAHVERENG%C4%B0","avcilik","Solognac","1450","4.5","0","5","Kullanılan süre 1 hafta ya da daha az tarihinden beri","Sağlam malzeme ve mağaza çalışanlarıda gerçekten ilgili",""
"10","https://www.decathlon.com.tr/r/avci-cizmesi-avcilik-ve-doga-gozlemi-kahverengi-100/_/R-p-325914?mc=8651762&c=S%C4%B0YAH_KAHVERENG%C4%B0","avcilik","Solognac","1450","4.5","0","4","","Giymesi kadar çıkarması da rahat olsaydı keşke.",""
"10","https://www.decathlon.com.tr/r/avci-cizmesi-avcilik-ve-doga-gozlemi-kahverengi-100/_/R-p-325914?mc=8651762&c=S%C4%B0YAH_KAHVERENG%C4%B0","avcilik","Solognac","1450","4.5","0","5","Kullanılan süre 1 hafta ya da daha az tarihinden beri","çok beğenerek aldık",""
