SIRA_NO,URUN_NO,LINK_AD,SPOR_DALI,MARKA,FIYAT,TUM_YILDIZ,TUM_YORUM,YORUM_YILDIZ,YORUM_KULLANIM_SURESI,YORUM,YORUMUN_POLARITESI
2,338399,https://www.decathlon.com.tr/r/yetiskin-uzun-yagmur-cizmesi-yesil-avcilik-ve-doga-gozlemi-land-100/_/R-p-338399?mc=8735637&c=BEJ_YE%C5%9E%C4%B0L,avcilik,Solognac,1050,4.7,962,5,Kullanılan süre 2 ile 8 hafta arası tarihinden beri,Ürünü bahçe işleri için aldım gayet kullanışlı.,
2,338399,https://www.decathlon.com.tr/r/yetiskin-uzun-yagmur-cizmesi-yesil-avcilik-ve-doga-gozlemi-land-100/_/R-p-338399?mc=8735637&c=BEJ_YE%C5%9E%C4%B0L,avcilik,Solognac,1050,4.7,962,5,Kullanılan süre 2 ile 8 hafta arası tarihinden beri,"Renk güzel, su geçirmezliği iyi.",
2,338399,https://www.decathlon.com.tr/r/yetiskin-uzun-yagmur-cizmesi-yesil-avcilik-ve-doga-gozlemi-land-100/_/R-p-338399?mc=8735637&c=BEJ_YE%C5%9E%C4%B0L,avcilik,Solognac,1050,4.7,962,5,Kullanılan süre 2 ile 8 hafta arası tarihinden beri,EŞİM ZİRAAT MÜHENDİSİ TARLADA GİYMESİ İÇİN ALDIM ÇK MEMNUN KALDIK,
2,338399,https://www.decathlon.com.tr/r/yetiskin-uzun-yagmur-cizmesi-yesil-avcilik-ve-doga-gozlemi-land-100/_/R-p-338399?mc=8735637&c=BEJ_YE%C5%9E%C4%B0L,avcilik,Solognac,1050,4.7,962,5,Kullanılan süre 2 ile 8 hafta arası tarihinden beri,Gayet kullanışlı sevdim ben,
2,338399,https://www.decathlon.com.tr/r/yetiskin-uzun-yagmur-cizmesi-yesil-avcilik-ve-doga-gozlemi-land-100/_/R-p-338399?mc=8735637&c=BEJ_YE%C5%9E%C4%B0L,avcilik,Solognac,1050,4.7,962,5,Kullanılan süre 2 ile 8 hafta arası tarihinden beri,Ürün güzel sadece biraz dar kalıp bir beden büyük tercih edebilirsiniz,
2,338399,https://www.decathlon.com.tr/r/yetiskin-uzun-yagmur-cizmesi-yesil-avcilik-ve-doga-gozlemi-land-100/_/R-p-338399?mc=8735637&c=BEJ_YE%C5%9E%C4%B0L,avcilik,Solognac,1050,4.7,962,5,Kullanılan süre 2 ile 8 hafta arası tarihinden beri,Ürün yumuşacık rahatsız etmiyor kalıp olarak bir beden büyük tercih edebilirsiniz,
2,338399,https://www.decathlon.com.tr/r/yetiskin-uzun-yagmur-cizmesi-yesil-avcilik-ve-doga-gozlemi-land-100/_/R-p-338399?mc=8735637&c=BEJ_YE%C5%9E%C4%B0L,avcilik,Solognac,1050,4.7,962,5,Kullanılan süre 3 ile 6 ay arası tarihinden beri,Güzel,
2,338399,https://www.decathlon.com.tr/r/yetiskin-uzun-yagmur-cizmesi-yesil-avcilik-ve-doga-gozlemi-land-100/_/R-p-338399?mc=8735637&c=BEJ_YE%C5%9E%C4%B0L,avcilik,Solognac,1050,4.7,962,5,Kullanılan süre 2 ile 8 hafta arası tarihinden beri,İyi,
2,338399,https://www.decathlon.com.tr/r/yetiskin-uzun-yagmur-cizmesi-yesil-avcilik-ve-doga-gozlemi-land-100/_/R-p-338399?mc=8735637&c=BEJ_YE%C5%9E%C4%B0L,avcilik,Solognac,1050,4.7,962,5,Kullanılan süre 1 hafta ya da daha az tarihinden beri,5 yıldızı hak ediyor,
2,338399,https://www.decathlon.com.tr/r/yetiskin-uzun-yagmur-cizmesi-yesil-avcilik-ve-doga-gozlemi-land-100/_/R-p-338399?mc=8735637&c=BEJ_YE%C5%9E%C4%B0L,avcilik,Solognac,1050,4.7,962,1,Kullanılan süre 2 ile 8 hafta arası tarihinden beri,aldım karda soğukta denedim ayagım buz tutdu normal sıradan 300 tl çizmeden hiç bir farkı yok kesinlikle almayın derim,
2,338399,https://www.decathlon.com.tr/r/yetiskin-uzun-yagmur-cizmesi-yesil-avcilik-ve-doga-gozlemi-land-100/_/R-p-338399?mc=8735637&c=BEJ_YE%C5%9E%C4%B0L,avcilik,Solognac,1050,4.7,962,1,Kullanılan süre 2 ile 8 hafta arası tarihinden beri,Su geçiriyor. Görüntü güzel.,
2,338399,https://www.decathlon.com.tr/r/yetiskin-uzun-yagmur-cizmesi-yesil-avcilik-ve-doga-gozlemi-land-100/_/R-p-338399?mc=8735637&c=BEJ_YE%C5%9E%C4%B0L,avcilik,Solognac,1050,4.7,962,5,Kullanılan süre 1 hafta ya da daha az tarihinden beri,"Ben sahilde balık tutarken arada denize kadar gidip kovayla su alabileyim, sahilde denizden gelen su ayaklarımı ıslatmasın vs. düşüncesiyle aldım 5-10 dereceklik havalarda rahatlıkla kullanıyorum. Tabii ki kışlık bir bot değil bunun bilincinde olarak aldım dolayısıyla içine bir çift uzun konçlu yün vs. içeren kalın bir çorap da aldım böylelikle 3-5 saat boyunca kullandım bir sorun yaşamadım. Üşüme, ıslanma vs.",
2,338399,https://www.decathlon.com.tr/r/yetiskin-uzun-yagmur-cizmesi-yesil-avcilik-ve-doga-gozlemi-land-100/_/R-p-338399?mc=8735637&c=BEJ_YE%C5%9E%C4%B0L,avcilik,Solognac,1050,4.7,962,5,Kullanılan süre 1 hafta ya da daha az tarihinden beri,İşimi görecek bir ürün,
2,338399,https://www.decathlon.com.tr/r/yetiskin-uzun-yagmur-cizmesi-yesil-avcilik-ve-doga-gozlemi-land-100/_/R-p-338399?mc=8735637&c=BEJ_YE%C5%9E%C4%B0L,avcilik,Solognac,1050,4.7,962,5,Kullanılan süre 3 ile 6 ay arası tarihinden beri,Gezer lerden sonra Çok iyi geldi. Jel tabanlık aldım. Harika oldu,
2,338399,https://www.decathlon.com.tr/r/yetiskin-uzun-yagmur-cizmesi-yesil-avcilik-ve-doga-gozlemi-land-100/_/R-p-338399?mc=8735637&c=BEJ_YE%C5%9E%C4%B0L,avcilik,Solognac,1050,4.7,962,5,Kullanılan süre 2 ile 8 hafta arası tarihinden beri,Yazlık model rahat hafif,
2,338399,https://www.decathlon.com.tr/r/yetiskin-uzun-yagmur-cizmesi-yesil-avcilik-ve-doga-gozlemi-land-100/_/R-p-338399?mc=8735637&c=BEJ_YE%C5%9E%C4%B0L,avcilik,Solognac,1050,4.7,962,5,Kullanılan süre 2 ile 8 hafta arası tarihinden beri,"Ürün Bosna da üretilmiş.
Gayet şık görünüme sahip.",
2,338399,https://www.decathlon.com.tr/r/yetiskin-uzun-yagmur-cizmesi-yesil-avcilik-ve-doga-gozlemi-land-100/_/R-p-338399?mc=8735637&c=BEJ_YE%C5%9E%C4%B0L,avcilik,Solognac,1050,4.7,962,5,Kullanılan süre 2 ile 8 hafta arası tarihinden beri,Oldukça kullanışlı kaliteli malzemeden yapılmış fiyatı ona göre mantıklı bir ürün,
2,338399,https://www.decathlon.com.tr/r/yetiskin-uzun-yagmur-cizmesi-yesil-avcilik-ve-doga-gozlemi-land-100/_/R-p-338399?mc=8735637&c=BEJ_YE%C5%9E%C4%B0L,avcilik,Solognac,1050,4.7,962,5,Kullanılan süre 2 ile 8 hafta arası tarihinden beri,FİYAT PERFORMAN OLARAK GAYET İYİ,
2,338399,https://www.decathlon.com.tr/r/yetiskin-uzun-yagmur-cizmesi-yesil-avcilik-ve-doga-gozlemi-land-100/_/R-p-338399?mc=8735637&c=BEJ_YE%C5%9E%C4%B0L,avcilik,Solognac,1050,4.7,962,4,Kullanılan süre 2 ile 8 hafta arası tarihinden beri,çok hafif ve ergonomik,
2,338399,https://www.decathlon.com.tr/r/yetiskin-uzun-yagmur-cizmesi-yesil-avcilik-ve-doga-gozlemi-land-100/_/R-p-338399?mc=8735637&c=BEJ_YE%C5%9E%C4%B0L,avcilik,Solognac,1050,4.7,962,5,,Annem için aldık çok memnun,
2,338399,https://www.decathlon.com.tr/r/yetiskin-uzun-yagmur-cizmesi-yesil-avcilik-ve-doga-gozlemi-land-100/_/R-p-338399?mc=8735637&c=BEJ_YE%C5%9E%C4%B0L,avcilik,Solognac,1050,4.7,962,5,Kullanılan süre 3 ile 6 ay arası tarihinden beri,Mağaracılık faaliyetleri için kullanıyorum tutuşu gayet iyi 6 ay kullandım tekrardan arkadaşıma alıyorum kesinlikle tavsiye ederim,
2,338399,https://www.decathlon.com.tr/r/yetiskin-uzun-yagmur-cizmesi-yesil-avcilik-ve-doga-gozlemi-land-100/_/R-p-338399?mc=8735637&c=BEJ_YE%C5%9E%C4%B0L,avcilik,Solognac,1050,4.7,962,5,Kullanılan süre 1 hafta ya da daha az tarihinden beri,Karda av için kullandım mükemmel bir performans,
2,338399,https://www.decathlon.com.tr/r/yetiskin-uzun-yagmur-cizmesi-yesil-avcilik-ve-doga-gozlemi-land-100/_/R-p-338399?mc=8735637&c=BEJ_YE%C5%9E%C4%B0L,avcilik,Solognac,1050,4.7,962,4,Kullanılan süre 2 ile 8 hafta arası tarihinden beri,İyi tavsiye ederim,
2,338399,https://www.decathlon.com.tr/r/yetiskin-uzun-yagmur-cizmesi-yesil-avcilik-ve-doga-gozlemi-land-100/_/R-p-338399?mc=8735637&c=BEJ_YE%C5%9E%C4%B0L,avcilik,Solognac,1050,4.7,962,5,Kullanılan süre 2 ile 8 hafta arası tarihinden beri,Teşekkür ederim böyle mütevazi ürünler ürettiğiniz için,
