"URUN_NO","LINK_AD","SPOR_DALI","MARKA","FIYAT","TUM_YILDIZ","TUM_YORUM","YORUM_YILDIZ","YORUM_KULLANIM_SURESI","YORUM","YORUMUN_POLARITESI"
"6","https://www.decathlon.com.tr/r/yetiskin-basketbol-ayakkabisi-siyah-elevate-500-mid/_/R-p-326014?mc=8788073&c=SARI","basketbol","Tarmak","2890","4.6","0","5","Kullanılan süre 2 ile 8 hafta arası tarihinden beri","son derece kullanışlı, son derece rahat",""
"6","https://www.decathlon.com.tr/r/yetiskin-basketbol-ayakkabisi-siyah-elevate-500-mid/_/R-p-326014?mc=8788073&c=SARI","basketbol","Tarmak","2890","4.6","0","5","Kullanılan süre 3 ile 6 ay arası tarihinden beri","3 yıldır kullanıyorum ilk günki gibi",""
"6","https://www.decathlon.com.tr/r/yetiskin-basketbol-ayakkabisi-siyah-elevate-500-mid/_/R-p-326014?mc=8788073&c=SARI","basketbol","Tarmak","2890","4.6","0","3","Kullanılan süre 2 ile 8 hafta arası tarihinden beri","Dışarda oynamak için iyi dayanıklı ayağınızı acıtır fazlasıyla indoor da kesinlikle denemeyin derim aşırı kayıyo artı hava almiyo ayaginizi aşırı terletiyo hem ayakkabı kayıyo hem de ayağınız içinde kayıyo ama dışarda iş gorebilir stabilitesi de kötü ayağınızı burkabilirsiniz",""
"6","https://www.decathlon.com.tr/r/yetiskin-basketbol-ayakkabisi-siyah-elevate-500-mid/_/R-p-326014?mc=8788073&c=SARI","basketbol","Tarmak","2890","4.6","0","4","Kullanılan süre 3 ile 6 ay arası tarihinden beri","The size is not perfectly matching. Normally, I wear size 42.5, but I bought size 43; however, it is pressing my toes. Also, the clutch down has finished just after 5 months.",""
"6","https://www.decathlon.com.tr/r/yetiskin-basketbol-ayakkabisi-siyah-elevate-500-mid/_/R-p-326014?mc=8788073&c=SARI","basketbol","Tarmak","2890","4.6","0","5","Kullanılan süre 2 ile 8 hafta arası tarihinden beri","fiyat performans olarak çok iyi kalitesi güzel
kalıbı dar sadece",""
"6","https://www.decathlon.com.tr/r/yetiskin-basketbol-ayakkabisi-siyah-elevate-500-mid/_/R-p-326014?mc=8788073&c=SARI","basketbol","Tarmak","2890","4.6","0","5","Kullanılan süre 3 ile 6 ay arası tarihinden beri","Harika bir ayakkabı. Çok memnunum.",""
"6","https://www.decathlon.com.tr/r/yetiskin-basketbol-ayakkabisi-siyah-elevate-500-mid/_/R-p-326014?mc=8788073&c=SARI","basketbol","Tarmak","2890","4.6","0","4","Kullanılan süre 2 ile 8 hafta arası tarihinden beri","Görünüm Tasarım ürünü beğenerek giyiyorum. Bilekleriniz yanlardan destekliyor ayağı tümüyle sarıyor ve hareket kabiliyetinizi arttırıyor. Başlangıç için çok ideal",""
"6","https://www.decathlon.com.tr/r/yetiskin-basketbol-ayakkabisi-siyah-elevate-500-mid/_/R-p-326014?mc=8788073&c=SARI","basketbol","Tarmak","2890","4.6","0","5","Kullanılan süre 3 ile 6 ay arası tarihinden beri","Ayakkabının tasarımı çok güzel bence herşeyden önce ama bu çok subjektif. Daha objektif yorumlara geçersek, açıkçası çok sık basketbol oynayabilen biri değilim ama 2 seneyi aşkın süredir bu ayakkabıyla oynuyorum senede 5-10 kere minimum 1'er saat yoğun sayılabilecek, tek pota maç temposunda. Hep beton sahalarda giydim. Ayağı iyi kavrıyor, bir sakatlık falan çıkartmadı hiç. Bazı sahalarda kayıyor bazen ama bence sahanın dandikliğinden kaynaklı. Özellikle kumaş kısımlar biraz kirlendi tabii birkaç oyundan sonra ve açıkçası kolay kolay çıkmıyor ama onun dışında da genel olarak bir yıpranma yok henüz gözle görülen. Ayakkabı fiyatı için çok iyi ve güvenli. Bununla Bebek 10K İstanbul Maratonunda 15K bile koştum valla. Elbette ağır ayakkabı zorladı ama yine de fena değildi. Ayağıma tam oturuyor ama bir dahaki basket ayakkabısı alışverişimde 46 numarayı denemek isterim. Hep giydiğim 45 biraz tırnaklarım uzun olursa falan ciddi rahatsız ediyor, biraz dar olabilir bana.",""
"6","https://www.decathlon.com.tr/r/yetiskin-basketbol-ayakkabisi-siyah-elevate-500-mid/_/R-p-326014?mc=8788073&c=SARI","basketbol","Tarmak","2890","4.6","0","5","Kullanılan süre 2 ile 8 hafta arası tarihinden beri","It looking beatiful on my foot.",""
"6","https://www.decathlon.com.tr/r/yetiskin-basketbol-ayakkabisi-siyah-elevate-500-mid/_/R-p-326014?mc=8788073&c=SARI","basketbol","Tarmak","2890","4.6","0","5","Kullanılan süre 3 ile 6 ay arası tarihinden beri","Oglum antrenmanda kullanıyor çok memnun. Kayma yapmıyor",""
