"URUN_NO","LINK_AD","SPOR_DALI","MARKA","FIYAT","TUM_YILDIZ","YORUM_YILDIZ","YORUM_KULLANIM_SURESI","YORUM","YORUMUN_POLARITESI"
"6","https://www.decathlon.com.tr/r/erkek-spor-ayakkabi-520-fitness/_/R-p-334541?mc=8842209&c=BEJ","fitness_kardiyo","Domyos","2690","4.5","5","Kullanılan süre 1 hafta ya da daha az tarihinden beri","Harika ayakkabi",""
"6","https://www.decathlon.com.tr/r/erkek-spor-ayakkabi-520-fitness/_/R-p-334541?mc=8842209&c=BEJ","fitness_kardiyo","Domyos","2690","4.5","2","Kullanılan süre 2 ile 8 hafta arası tarihinden beri","ayakkabılar çok çabuk yıprandı. 6 ayda üst kısım yırtıldı.",""
"6","https://www.decathlon.com.tr/r/erkek-spor-ayakkabi-520-fitness/_/R-p-334541?mc=8842209&c=BEJ","fitness_kardiyo","Domyos","2690","4.5","5","Kullanılan süre 2 ile 8 hafta arası tarihinden beri","İlk defa alışveriş yapmama rağmen sorunsuz bir şekilde teslimat yapıldı gelen ürün kaliteli ve rahat bir ürün tavsiye ederim.",""
"6","https://www.decathlon.com.tr/r/erkek-spor-ayakkabi-520-fitness/_/R-p-334541?mc=8842209&c=BEJ","fitness_kardiyo","Domyos","2690","4.5","5","Kullanılan süre 1 hafta ya da daha az tarihinden beri","Merhaba ayakkabilar oldukca guzel fakat tek renk secenegi olmasi cok uzucu kadin modelinde beyaz ve gri vesayre mevcutken bu boşluk ne kapatilir mi acaba",""
"6","https://www.decathlon.com.tr/r/erkek-spor-ayakkabi-520-fitness/_/R-p-334541?mc=8842209&c=BEJ","fitness_kardiyo","Domyos","2690","4.5","1","Kullanılan süre 2 ile 8 hafta arası tarihinden beri","Hayatımda giydiğim en kötü ayakkabılardan biri diyebilirim, çok sert ve ilginç bir şekilde ayağımın altını ağrıtıyor, bu fiyata çok daha iyisini bulabilirsiniz. Kesinlikle almayın.",""
"6","https://www.decathlon.com.tr/r/erkek-spor-ayakkabi-520-fitness/_/R-p-334541?mc=8842209&c=BEJ","fitness_kardiyo","Domyos","2690","4.5","4","Kullanılan süre 2 ile 8 hafta arası tarihinden beri","Rahat ve hava alabilen bir ayakkabı fakat sağ ön dikiş yerinden açılma oldu.",""
"6","https://www.decathlon.com.tr/r/erkek-spor-ayakkabi-520-fitness/_/R-p-334541?mc=8842209&c=BEJ","fitness_kardiyo","Domyos","2690","4.5","5","Kullanılan süre 2 yıldan daha fazla tarihinden beri","Giydiğim en rahat ayakkabı. 2 beyaz bir yeşil aldım. Gelse yeşili tekrar 2-3 tane daha alıcam. Lütfen gelsin",""
"6","https://www.decathlon.com.tr/r/erkek-spor-ayakkabi-520-fitness/_/R-p-334541?mc=8842209&c=BEJ","fitness_kardiyo","Domyos","2690","4.5","5","Kullanılan süre 2 ile 8 hafta arası tarihinden beri","Gayet güzel bir ayakkabı, spor da yapılır yürüyüş de. Güzel kavraması var. Tavsiye ederim fiyatına göre uygun.",""
"6","https://www.decathlon.com.tr/r/erkek-spor-ayakkabi-520-fitness/_/R-p-334541?mc=8842209&c=BEJ","fitness_kardiyo","Domyos","2690","4.5","5","Kullanılan süre 1 hafta ya da daha az tarihinden beri","tasarımı güzel tarakli ayaklar için daha uygun günlük kullanımada uygun tavsiye ederim ama fiyat biraz pahalı kampanya denk gelirse alın.",""
"6","https://www.decathlon.com.tr/r/erkek-spor-ayakkabi-520-fitness/_/R-p-334541?mc=8842209&c=BEJ","fitness_kardiyo","Domyos","2690","4.5","5","Kullanılan süre 1 yıldan daha fazla tarihinden beri","Spor için güzel",""
