"URUN_NO","LINK_AD","SPOR_DALI","MARKA","FIYAT","TUM_YILDIZ","YORUM_YILDIZ","YORUM_KULLANIM_SURESI","YORUM","YORUMUN_POLARITESI"
"13","https://www.decathlon.com.tr/r/cocuk-krampon-futbol-ayakkabisi-siyah-sari-100-easy-ag-fg/_/R-p-326382?mc=8590458&c=S%C4%B0YAH_SARI","futbol","Kipsta","1190","4.7","5","Kullanılan süre 3 ile 6 ay arası tarihinden beri","parasını sonuna kadar hakediyor numarası tam oldu",""
"13","https://www.decathlon.com.tr/r/cocuk-krampon-futbol-ayakkabisi-siyah-sari-100-easy-ag-fg/_/R-p-326382?mc=8590458&c=S%C4%B0YAH_SARI","futbol","Kipsta","1190","4.7","5","Kullanılan süre 3 ile 6 ay arası tarihinden beri","çok beğendim",""
"13","https://www.decathlon.com.tr/r/cocuk-krampon-futbol-ayakkabisi-siyah-sari-100-easy-ag-fg/_/R-p-326382?mc=8590458&c=S%C4%B0YAH_SARI","futbol","Kipsta","1190","4.7","5","Kullanılan süre 2 ile 8 hafta arası tarihinden beri","rahat ve kullanışlı çocuk için almıştım severek giyiyor",""
"13","https://www.decathlon.com.tr/r/cocuk-krampon-futbol-ayakkabisi-siyah-sari-100-easy-ag-fg/_/R-p-326382?mc=8590458&c=S%C4%B0YAH_SARI","futbol","Kipsta","1190","4.7","5","Kullanılan süre 2 ile 8 hafta arası tarihinden beri","güzel kaliteli üründür tam oldu",""
"13","https://www.decathlon.com.tr/r/cocuk-krampon-futbol-ayakkabisi-siyah-sari-100-easy-ag-fg/_/R-p-326382?mc=8590458&c=S%C4%B0YAH_SARI","futbol","Kipsta","1190","4.7","5","Kullanılan süre 2 ile 8 hafta arası tarihinden beri","Oğlum için almıştım. taban kauçuğu kaliteli. giymesi ve çıkarması kolay.",""
"13","https://www.decathlon.com.tr/r/cocuk-krampon-futbol-ayakkabisi-siyah-sari-100-easy-ag-fg/_/R-p-326382?mc=8590458&c=S%C4%B0YAH_SARI","futbol","Kipsta","1190","4.7","5","Kullanılan süre 2 ile 8 hafta arası tarihinden beri","Çok iyi",""
"13","https://www.decathlon.com.tr/r/cocuk-krampon-futbol-ayakkabisi-siyah-sari-100-easy-ag-fg/_/R-p-326382?mc=8590458&c=S%C4%B0YAH_SARI","futbol","Kipsta","1190","4.7","5","Kullanılan süre 2 ile 8 hafta arası tarihinden beri","Gayet iyiydi. Çok memnun kaldık.",""
"13","https://www.decathlon.com.tr/r/cocuk-krampon-futbol-ayakkabisi-siyah-sari-100-easy-ag-fg/_/R-p-326382?mc=8590458&c=S%C4%B0YAH_SARI","futbol","Kipsta","1190","4.7","5","Kullanılan süre 2 ile 8 hafta arası tarihinden beri","Çocuk kramponu, ayakları hızlı büyüyor ve 2-3 ay içinde ayak büyümesi kaynaklı sağlam kramponu giyemez oluyor ve yeni alıyoruz mecbur. O nedenle pahalı krampon almıyoruz zaten. Ama bu krampon gerçekten güzel. Bizim için cırt kısmının sağlam olması önemliydi. Cırt dikişleri ve cırt yapışma sağlamlığı. Bunlarda sorun yok.",""
"13","https://www.decathlon.com.tr/r/cocuk-krampon-futbol-ayakkabisi-siyah-sari-100-easy-ag-fg/_/R-p-326382?mc=8590458&c=S%C4%B0YAH_SARI","futbol","Kipsta","1190","4.7","5","Kullanılan süre 2 ile 8 hafta arası tarihinden beri","Başarılı bir ürün",""
"13","https://www.decathlon.com.tr/r/cocuk-krampon-futbol-ayakkabisi-siyah-sari-100-easy-ag-fg/_/R-p-326382?mc=8590458&c=S%C4%B0YAH_SARI","futbol","Kipsta","1190","4.7","5","Kullanılan süre 3 ile 6 ay arası tarihinden beri","Oğlum çok beğendi",""
"13","https://www.decathlon.com.tr/r/cocuk-krampon-futbol-ayakkabisi-siyah-sari-100-easy-ag-fg/_/R-p-326382?mc=8590458&c=S%C4%B0YAH_SARI","futbol","Kipsta","1190","4.7","5","Kullanılan süre 2 ile 8 hafta arası tarihinden beri","Çok kullanışlıl",""
"13","https://www.decathlon.com.tr/r/cocuk-krampon-futbol-ayakkabisi-siyah-sari-100-easy-ag-fg/_/R-p-326382?mc=8590458&c=S%C4%B0YAH_SARI","futbol","Kipsta","1190","4.7","5","Kullanılan süre 7 ile 12 ay arası tarihinden beri","1 yil oldu sorunsuz",""
"13","https://www.decathlon.com.tr/r/cocuk-krampon-futbol-ayakkabisi-siyah-sari-100-easy-ag-fg/_/R-p-326382?mc=8590458&c=S%C4%B0YAH_SARI","futbol","Kipsta","1190","4.7","5","Kullanılan süre 2 yıldan daha fazla tarihinden beri","Kaliteli tavsiye ederim",""
"13","https://www.decathlon.com.tr/r/cocuk-krampon-futbol-ayakkabisi-siyah-sari-100-easy-ag-fg/_/R-p-326382?mc=8590458&c=S%C4%B0YAH_SARI","futbol","Kipsta","1190","4.7","5","Kullanılan süre 3 ile 6 ay arası tarihinden beri","Kategorisinde bu ücrete piyasada alınabilecek en iyi ürün!",""
"13","https://www.decathlon.com.tr/r/cocuk-krampon-futbol-ayakkabisi-siyah-sari-100-easy-ag-fg/_/R-p-326382?mc=8590458&c=S%C4%B0YAH_SARI","futbol","Kipsta","1190","4.7","5","Kullanılan süre 3 ile 6 ay arası tarihinden beri","oğlum kullanıyor, memnun..",""
"13","https://www.decathlon.com.tr/r/cocuk-krampon-futbol-ayakkabisi-siyah-sari-100-easy-ag-fg/_/R-p-326382?mc=8590458&c=S%C4%B0YAH_SARI","futbol","Kipsta","1190","4.7","5","Kullanılan süre 3 ile 6 ay arası tarihinden beri","fiyat performans ürünü.çok memnun kaldı oğlum.tavsiye ederim.",""
"13","https://www.decathlon.com.tr/r/cocuk-krampon-futbol-ayakkabisi-siyah-sari-100-easy-ag-fg/_/R-p-326382?mc=8590458&c=S%C4%B0YAH_SARI","futbol","Kipsta","1190","4.7","5","Kullanılan süre 2 ile 8 hafta arası tarihinden beri","Oğlum severek kullanıyor çok dayanıklı ve rahat!!!",""
"13","https://www.decathlon.com.tr/r/cocuk-krampon-futbol-ayakkabisi-siyah-sari-100-easy-ag-fg/_/R-p-326382?mc=8590458&c=S%C4%B0YAH_SARI","futbol","Kipsta","1190","4.7","5","Kullanılan süre 7 ile 12 ay arası tarihinden beri","Kardeşim her gün top oynuyor, ayakkabıları bu yuzden çabuk yıpranıyor. Bu ayakkabının dayanıklılığını beğendim.",""
"13","https://www.decathlon.com.tr/r/cocuk-krampon-futbol-ayakkabisi-siyah-sari-100-easy-ag-fg/_/R-p-326382?mc=8590458&c=S%C4%B0YAH_SARI","futbol","Kipsta","1190","4.7","5","Kullanılan süre 2 ile 8 hafta arası tarihinden beri","çok rahat, beklentilerimizi karşıladı.",""
