"URUN_NO","LINK_AD","SPOR_DALI","MARKA","FIYAT","TUM_YILDIZ","YORUM_YILDIZ","YORUM_KULLANIM_SURESI","YORUM","YORUMUN_POLARITESI"
"1","https://www.decathlon.com.tr/r/kadin-kosu-arazi-kosusu-ayakkabisi-siyah-pembe-jf190-grip/_/R-p-348767?mc=8913975&c=PEMBE_GR%C4%B0_BEYAZ","kosu","Decathlon","2190","4.7","5","Kullanılan süre 1 hafta ya da daha az tarihinden beri","Mükemmel",""
"1","https://www.decathlon.com.tr/r/kadin-kosu-arazi-kosusu-ayakkabisi-siyah-pembe-jf190-grip/_/R-p-348767?mc=8913975&c=PEMBE_GR%C4%B0_BEYAZ","kosu","Decathlon","2190","4.7","5","Kullanılan süre 1 hafta ya da daha az tarihinden beri","Eşim için aldım başka ayakkabılardan ağrı şikayeti vardı bu markayı kullanmaya başlayınca hiçbir sorun şikayet kalmadı evin içinde giyip geziyor :) mağaza güvenilir ve ürünler kesinlikle orijinal",""
"1","https://www.decathlon.com.tr/r/kadin-kosu-arazi-kosusu-ayakkabisi-siyah-pembe-jf190-grip/_/R-p-348767?mc=8913975&c=PEMBE_GR%C4%B0_BEYAZ","kosu","Decathlon","2190","4.7","5","Kullanılan süre 2 ile 8 hafta arası tarihinden beri","O kadar rahat ki yok gibi. arsız kullanırım buna rağmen çatlama yırtılma olmadı. çok memnunum.",""
"1","https://www.decathlon.com.tr/r/kadin-kosu-arazi-kosusu-ayakkabisi-siyah-pembe-jf190-grip/_/R-p-348767?mc=8913975&c=PEMBE_GR%C4%B0_BEYAZ","kosu","Decathlon","2190","4.7","5","Kullanılan süre 1 hafta ya da daha az tarihinden beri","Rahat güzel",""
"1","https://www.decathlon.com.tr/r/kadin-kosu-arazi-kosusu-ayakkabisi-siyah-pembe-jf190-grip/_/R-p-348767?mc=8913975&c=PEMBE_GR%C4%B0_BEYAZ","kosu","Decathlon","2190","4.7","5","Kullanılan süre 2 ile 8 hafta arası tarihinden beri","anneme aldım çok beğendi.",""
"1","https://www.decathlon.com.tr/r/kadin-kosu-arazi-kosusu-ayakkabisi-siyah-pembe-jf190-grip/_/R-p-348767?mc=8913975&c=PEMBE_GR%C4%B0_BEYAZ","kosu","Decathlon","2190","4.7","5","Kullanılan süre 2 ile 8 hafta arası tarihinden beri","Rahat",""
"1","https://www.decathlon.com.tr/r/kadin-kosu-arazi-kosusu-ayakkabisi-siyah-pembe-jf190-grip/_/R-p-348767?mc=8913975&c=PEMBE_GR%C4%B0_BEYAZ","kosu","Decathlon","2190","4.7","5","Kullanılan süre 2 ile 8 hafta arası tarihinden beri","Çok rahat",""
"1","https://www.decathlon.com.tr/r/kadin-kosu-arazi-kosusu-ayakkabisi-siyah-pembe-jf190-grip/_/R-p-348767?mc=8913975&c=PEMBE_GR%C4%B0_BEYAZ","kosu","Decathlon","2190","4.7","5","Kullanılan süre 2 ile 8 hafta arası tarihinden beri","Çok rahat",""
"1","https://www.decathlon.com.tr/r/kadin-kosu-arazi-kosusu-ayakkabisi-siyah-pembe-jf190-grip/_/R-p-348767?mc=8913975&c=PEMBE_GR%C4%B0_BEYAZ","kosu","Decathlon","2190","4.7","5","Kullanılan süre 2 ile 8 hafta arası tarihinden beri","Cok rahat tavsiye ederim",""
"1","https://www.decathlon.com.tr/r/kadin-kosu-arazi-kosusu-ayakkabisi-siyah-pembe-jf190-grip/_/R-p-348767?mc=8913975&c=PEMBE_GR%C4%B0_BEYAZ","kosu","Decathlon","2190","4.7","4","Kullanılan süre 2 ile 8 hafta arası tarihinden beri","Kızımla Geyik koşularına katıldık. Çamurda ayakkabının performansı gayet yeterli idi.",""
"1","https://www.decathlon.com.tr/r/kadin-kosu-arazi-kosusu-ayakkabisi-siyah-pembe-jf190-grip/_/R-p-348767?mc=8913975&c=PEMBE_GR%C4%B0_BEYAZ","kosu","Decathlon","2190","4.7","5","Kullanılan süre 2 ile 8 hafta arası tarihinden beri","tek kelimeyle muhteşem",""
