"URUN_NO","LINK_AD","SPOR_DALI","MARKA","FIYAT","TUM_YILDIZ","YORUM_YILDIZ","YORUM_KULLANIM_SURESI","YORUM","YORUMUN_POLARITESI"
"3","https://www.decathlon.com.tr/r/masa-tenisi-ayakkabisi-mavi-beyaz-tts-560/_/R-p-326223?mc=8640567&c=BEYAZ_MAV%C4%B0","masa_tenisi","Pongori","2990","4.8","5","Kullanılan süre 2 ile 8 hafta arası tarihinden beri","F/P",""
"3","https://www.decathlon.com.tr/r/masa-tenisi-ayakkabisi-mavi-beyaz-tts-560/_/R-p-326223?mc=8640567&c=BEYAZ_MAV%C4%B0","masa_tenisi","Pongori","2990","4.8","5","Kullanılan süre 2 ile 8 hafta arası tarihinden beri","KULANIŞLI RAHAT BİR ÜRÜN",""
"3","https://www.decathlon.com.tr/r/masa-tenisi-ayakkabisi-mavi-beyaz-tts-560/_/R-p-326223?mc=8640567&c=BEYAZ_MAV%C4%B0","masa_tenisi","Pongori","2990","4.8","5","Kullanılan süre 3 ile 6 ay arası tarihinden beri","yeri güzel kavrıyor fiyatına göre çok rahat ve dışardan çok hoş gözüküyor",""
"3","https://www.decathlon.com.tr/r/masa-tenisi-ayakkabisi-mavi-beyaz-tts-560/_/R-p-326223?mc=8640567&c=BEYAZ_MAV%C4%B0","masa_tenisi","Pongori","2990","4.8","5","Kullanılan süre 1 yıldan daha fazla tarihinden beri","Ürünün altı kauçuk olduğu için salon sporlarına çok uygun olup zemine iyi tutunuyor. Üst kısmı suni deri pek sağlamlık hissiyatı vermese de fiyat/performans ürünü. Alırken bir numara büyük alınabilir içerisindeki tabanlık kalın olduğundan burun kısmından sıkma yapabilir.",""
"3","https://www.decathlon.com.tr/r/masa-tenisi-ayakkabisi-mavi-beyaz-tts-560/_/R-p-326223?mc=8640567&c=BEYAZ_MAV%C4%B0","masa_tenisi","Pongori","2990","4.8","5","Kullanılan süre 2 ile 8 hafta arası tarihinden beri","spor salonunda salon ayakkabısı olarak kullanıyorum. çok güzel bir ayakkabı. tavsiye ederim. yalnız sipariş oluştururken 4 ayakkabı aldım, sağolsunlar ayakkabıları kutusunda değil büyük boş 1 tek kutuya basıp göndermişler. bu konuda rezillik diyebilirim",""
"3","https://www.decathlon.com.tr/r/masa-tenisi-ayakkabisi-mavi-beyaz-tts-560/_/R-p-326223?mc=8640567&c=BEYAZ_MAV%C4%B0","masa_tenisi","Pongori","2990","4.8","5","Kullanılan süre 2 ile 8 hafta arası tarihinden beri","Çok Kullanışlı",""
"3","https://www.decathlon.com.tr/r/masa-tenisi-ayakkabisi-mavi-beyaz-tts-560/_/R-p-326223?mc=8640567&c=BEYAZ_MAV%C4%B0","masa_tenisi","Pongori","2990","4.8","5","Kullanılan süre 3 ile 6 ay arası tarihinden beri","Ayağı komple saran ve çok rahat bir yapısı var, tabanı kaymıyor, masa tenisi dışındaki salon sporları için de oldukça ideal bir ayakkabı.",""
"3","https://www.decathlon.com.tr/r/masa-tenisi-ayakkabisi-mavi-beyaz-tts-560/_/R-p-326223?mc=8640567&c=BEYAZ_MAV%C4%B0","masa_tenisi","Pongori","2990","4.8","5","Kullanılan süre 1 yıldan daha fazla tarihinden beri","Mülakatlar için de bire bir",""
"3","https://www.decathlon.com.tr/r/masa-tenisi-ayakkabisi-mavi-beyaz-tts-560/_/R-p-326223?mc=8640567&c=BEYAZ_MAV%C4%B0","masa_tenisi","Pongori","2990","4.8","5","Kullanılan süre 1 hafta ya da daha az tarihinden beri","Genel olarak güzel ama kesinlikle 1 ya da hatta 2 numara büyük alın.",""
"3","https://www.decathlon.com.tr/r/masa-tenisi-ayakkabisi-mavi-beyaz-tts-560/_/R-p-326223?mc=8640567&c=BEYAZ_MAV%C4%B0","masa_tenisi","Pongori","2990","4.8","5","Kullanılan süre 3 ile 6 ay arası tarihinden beri","Günlük hayatta kullanıyorum kırmızı rengini de aldım çok güzel bir ürün",""
"3","https://www.decathlon.com.tr/r/masa-tenisi-ayakkabisi-mavi-beyaz-tts-560/_/R-p-326223?mc=8640567&c=BEYAZ_MAV%C4%B0","masa_tenisi","Pongori","2990","4.8","5","Kullanılan süre 3 ile 6 ay arası tarihinden beri","Günlük hayatta kullanıyorum mavi rengini de aldım çok şık bir ürün",""
"3","https://www.decathlon.com.tr/r/masa-tenisi-ayakkabisi-mavi-beyaz-tts-560/_/R-p-326223?mc=8640567&c=BEYAZ_MAV%C4%B0","masa_tenisi","Pongori","2990","4.8","5","Kullanılan süre 3 ile 6 ay arası tarihinden beri","Kullanışlı rahat bir ayakkabı",""
"3","https://www.decathlon.com.tr/r/masa-tenisi-ayakkabisi-mavi-beyaz-tts-560/_/R-p-326223?mc=8640567&c=BEYAZ_MAV%C4%B0","masa_tenisi","Pongori","2990","4.8","5","Kullanılan süre 2 ile 8 hafta arası tarihinden beri","kalıbı biraz dar bir numara büyük alınmalı salonda kullanmak için ideal",""
"3","https://www.decathlon.com.tr/r/masa-tenisi-ayakkabisi-mavi-beyaz-tts-560/_/R-p-326223?mc=8640567&c=BEYAZ_MAV%C4%B0","masa_tenisi","Pongori","2990","4.8","4","Kullanılan süre 1 hafta ya da daha az tarihinden beri","Kesinlikle... en az bir numara büyük alınmalı. Mümkün ise deneyerek alınmalı. 42 numara giyen birisi olarak çok dar geldi. 43 kurtaracak mı emin değilim. Deneme şansım yok internetten aldığım için.",""
"3","https://www.decathlon.com.tr/r/masa-tenisi-ayakkabisi-mavi-beyaz-tts-560/_/R-p-326223?mc=8640567&c=BEYAZ_MAV%C4%B0","masa_tenisi","Pongori","2990","4.8","5","Kullanılan süre 2 ile 8 hafta arası tarihinden beri","ürün çok güzel. teşekkürler.",""
